"id","Variable.Count","VPOPS.Mean","POPS.Count","PSS.Maximum","PSS.Mean","PSS.Standard.Deviation","VPOPS.Maximum","VPOPS.Standard.Deviation","Pattern.database.lower.bound.In.degree.Maximum","Pattern.database.lower.bound.In.degree.Mean","Pattern.database.lower.bound.In.degree.Standard.Deviation","Pattern.database.lower.bound.Leaf.Count","Pattern.database.lower.bound.NTC.Count","Pattern.database.lower.bound.NTC.Max","Pattern.database.lower.bound.NTC.Mean","Pattern.database.lower.bound.NTC.Standard.Deviation","Pattern.database.lower.bound.Out.degree.Maximum","Pattern.database.lower.bound.Out.degree.Mean","Pattern.database.lower.bound.Out.degree.Standard.Deviation","Pattern.database.lower.bound.Root.Count","Pattern.database.lower.bound.Total.Degree.Maximum","Pattern.database.lower.bound.Total.Degree.Mean","Pattern.database.lower.bound.Total.Degree.Standard.Deviation","Simple.lower.bound.In.degree.Maximum","Simple.lower.bound.In.degree.Mean","Simple.lower.bound.In.degree.Standard.Deviation","Simple.lower.bound.Leaf.Count","Simple.lower.bound.NTC.Count","Simple.lower.bound.NTC.Max","Simple.lower.bound.NTC.Mean","Simple.lower.bound.NTC.Standard.Deviation","Simple.lower.bound.Out.degree.Maximum","Simple.lower.bound.Out.degree.Mean","Simple.lower.bound.Out.degree.Standard.Deviation","Simple.lower.bound.Root.Count","Simple.lower.bound.Total.Degree.Maximum","Simple.lower.bound.Total.Degree.Mean","Simple.lower.bound.Total.Degree.Standard.Deviation","Greedy.hill.climbing.Error.bound","Greedy.hill.climbing.In.degree.Maximum","Greedy.hill.climbing.In.degree.Mean","Greedy.hill.climbing.In.degree.Standard.Deviation","Greedy.hill.climbing.Leaf.Count","Greedy.hill.climbing.Out.degree.Maximum","Greedy.hill.climbing.Out.degree.Mean","Greedy.hill.climbing.Out.degree.Standard.Deviation","Greedy.hill.climbing.Root.Count","Greedy.hill.climbing.Total.Degree.Maximum","Greedy.hill.climbing.Total.Degree.Mean","Greedy.hill.climbing.Total.Degree.Standard.Deviation","Anytime.window.A..Error.bound","Anytime.window.A..In.degree.Maximum","Anytime.window.A..In.degree.Mean","Anytime.window.A..In.degree.Standard.Deviation","Anytime.window.A..Leaf.Count","Anytime.window.A..Out.degree.Maximum","Anytime.window.A..Out.degree.Mean","Anytime.window.A..Out.degree.Standard.Deviation","Anytime.window.A..Root.Count","Anytime.window.A..Total.Degree.Maximum","Anytime.window.A..Total.Degree.Mean","Anytime.window.A..Total.Degree.Standard.Deviation","GOBNILP.Error.bound","GOBNILP.In.degree.Maximum","GOBNILP.In.degree.Mean","GOBNILP.In.degree.Standard.Deviation","GOBNILP.Leaf.Count","GOBNILP.Out.degree.Maximum","GOBNILP.Out.degree.Mean","GOBNILP.Out.degree.Standard.Deviation","GOBNILP.Root.Count","GOBNILP.Total.Degree.Maximum","GOBNILP.Total.Degree.Mean","GOBNILP.Total.Degree.Standard.Deviation","CPBayes.Error.bound","CPBayes.In.degree.Maximum","CPBayes.In.degree.Mean","CPBayes.In.degree.Standard.Deviation","CPBayes.Leaf.Count","CPBayes.Out.degree.Maximum","CPBayes.Out.degree.Mean","CPBayes.Out.degree.Standard.Deviation","CPBayes.Root.Count","CPBayes.Total.Degree.Maximum","CPBayes.Total.Degree.Mean","CPBayes.Total.Degree.Standard.Deviation","basic","basic_extended","lower_bounding","greedy_probing","A._probing","ILP_probing","CP_probing","Class"
"abscisic_bdeu-0.1-2",41,698.22,28627,2,1.94,0.24,821,84.91,2,2,0,13,4,9,5,3.16,27,2,4.2,0,29,4,4.2,2,2,0,10,5,11,4.8,3.83,27,2,4.15,0,29,4,4.15,14.91,2,1.93,0.35,12,25,1.93,3.9,1,27,3.85,3.89,12.57,2,1.93,0.35,7,14,1.93,2.43,1,16,3.85,2.33,4.89,2,1.93,0.35,14,23,1.93,3.71,1,25,3.85,3.69,3.9,2,1.93,0.35,13,30,1.93,4.66,1,31,3.85,4.49,0,0,0,5,5,5,6,"astar.comp"
"abscisic_bdeu-1-2",41,765.8,31398,2,1.95,0.23,821,56.54,2,2,0,13,4,9,5,3.16,26,2,4.06,0,28,4,4.06,2,2,0,11,5,11,4.8,3.83,26,2,4.03,0,28,4,4.03,14.93,2,1.93,0.35,11,26,1.93,4,1,28,3.85,4,12.41,2,1.93,0.35,7,15,1.93,2.5,1,17,3.85,2.43,5.08,2,1.93,0.35,15,29,1.93,4.54,1,31,3.85,4.51,1.9,2,1.93,0.35,14,29,1.93,4.54,1,30,3.85,4.35,0,0,0,5,5,5,6,"astar.comp"
"abscisic_bdeu-10-2",41,805.07,33008,2,1.95,0.23,821,22.38,2,2,0,12,4,9,5.25,2.99,23,2,3.61,0,25,4,3.61,2,2,0,8,6,11,4.67,3.44,22,2,3.4,0,24,4,3.4,97.02,0,0,0,41,0,0,0,41,0,0,0,13.16,2,1.93,0.35,6,12,1.93,2.08,1,14,3.85,1.98,5.54,2,1.93,0.35,15,23,1.93,3.7,1,25,3.85,3.67,-1,2,2,0,8,22,2,3.4,0,24,4,3.4,0,0,0,5,5,5,6,"cpbayes"
"abscisic_bdeu-100-2",41,820.66,33647,2,1.95,0.23,821,0.94,2,2,0,7,4,14,7.75,5.06,13,2,2.21,0,15,4,2.21,2,2,0,4,5,14,7,5.39,12,2,1.99,0,14,4,1.99,94.66,0,0,0,41,0,0,0,41,0,0,0,11.77,2,1.93,0.35,7,9,1.93,1.72,1,11,3.85,1.7,5.84,2,1.93,0.35,13,16,1.93,2.89,1,18,3.85,2.88,3.7,2,1.93,0.35,13,17,1.93,2.99,1,19,3.85,2.87,0,0,0,5,5,5,6,"astar.comp"
"abscisic_bdeu-100-3",41,10577.76,433688,3,2.92,0.29,10701,209.97,3,3,0,2,3,24,13,10.54,12,3,2.17,0,15,6,2.17,3,3,0,1,5,14,8,5.66,11,3,1.99,0,14,6,1.99,61.49,2,0.63,0.62,28,6,0.63,1.2,18,7,1.27,1.47,16.05,3,2.85,0.57,1,10,2.85,2.02,1,13,5.71,1.81,-1,3,3,0,1,11,3,1.99,0,14,6,1.99,-1,3,3,0,1,11,3,1.99,0,14,6,1.99,0,0,0,5,5,10,6,"astar.comp"
"abscisic_bic-2",41,752.1,30836,2,1.94,0.24,821,62.84,2,2,0,13,4,9,5.25,2.99,25,2,3.91,0,27,4,3.91,2,2,0,9,6,11,4.67,3.44,24,2,3.7,0,26,4,3.7,15.18,2,1.93,0.35,12,24,1.93,3.76,1,26,3.85,3.75,12.4,2,1.93,0.35,7,15,1.93,2.49,1,17,3.85,2.41,4.89,2,1.93,0.35,14,30,1.93,4.73,1,31,3.85,4.59,3,2,1.93,0.35,12,29,1.93,4.51,1,30,3.85,4.33,0,0,0,5,5,5,6,"astar.comp"
"alarm_10000_bdeu-0.1-2",37,63.92,2365,2,1.78,0.45,151,48.43,2,1.7,0.57,9,7,6,3.43,1.81,6,1.7,1.53,2,8,3.41,1.85,2,1.78,0.48,7,9,6,3.22,1.48,7,1.78,1.57,1,9,3.57,1.79,36.49,2,1.43,0.69,16,5,1.43,1.63,4,7,2.86,1.69,32.71,2,1.22,0.85,12,5,1.22,1.25,10,6,2.43,1.34,0.72,2,1.38,0.72,14,5,1.38,1.48,5,6,2.76,1.61,7.5,2,1.19,0.88,15,5,1.19,1.33,11,6,2.38,1.32,0,0,0,3,5,5,6,"ilp.162"
"alarm_10000_bdeu-0.1-3",37,130.73,4837,3,2.4,0.68,372,118.63,3,2.05,0.88,8,6,6,4.17,1.72,7,2.05,1.82,2,10,4.11,2.44,3,2.3,0.85,3,7,15,4.86,4.71,8,2.3,1.87,1,11,4.59,2.45,42.56,3,1.59,0.86,10,5,1.59,1.5,4,8,3.19,1.75,38.6,3,1.24,1.01,11,5,1.24,1.19,12,6,2.49,1.37,3.98,3,1.46,0.84,9,6,1.46,1.54,6,7,2.92,1.66,0.7,3,1.19,0.97,15,5,1.19,1.29,12,6,2.38,1.32,0,0,0,5,5,5,6,"ilp.162"
"alarm_10000_bdeu-0.1-4",37,159.97,5919,4,2.7,0.87,490,153.06,4,2.11,0.99,8,5,9,5,2.74,7,2.11,1.79,2,10,4.22,2.5,4,2.62,1.19,1,4,18,9,7.39,8,2.62,1.93,1,12,5.24,2.92,43.64,4,1.68,0.97,11,7,1.68,1.89,4,9,3.35,2.1,39.42,3,1.24,1.01,12,5,1.24,1.21,12,6,2.49,1.37,3.54,3,1.38,0.83,15,5,1.38,1.52,7,6,2.76,1.55,0.7,3,1.22,0.95,16,5,1.22,1.38,11,6,2.43,1.3,0,0,0,5,5,5,6,"ilp.162.nc"
"alarm_10000_bdeu-0.1-5",37,166.7,6168,5,2.79,0.97,506,160.94,5,2.14,1.06,8,5,9,5,2.74,7,2.14,1.81,2,11,4.27,2.58,5,2.7,1.31,1,3,18,12,6,8,2.7,1.93,1,13,5.41,3.08,43.26,3,1.49,0.9,11,5,1.49,1.39,6,7,2.97,1.62,39.44,3,1.24,1.01,12,5,1.24,1.21,12,6,2.49,1.37,4.26,4,1.43,0.96,7,6,1.43,1.37,7,7,2.86,1.67,0.7,3,1.22,0.95,16,5,1.22,1.38,11,6,2.43,1.3,0,0,0,5,5,5,6,"ilp.162.nc"
"alarm_10000_bdeu-1-2",37,73.95,2736,2,1.8,0.43,171,55.47,2,1.7,0.57,10,7,6,3.43,1.81,6,1.7,1.53,2,8,3.41,1.83,2,1.78,0.48,7,9,6,3.22,1.48,7,1.78,1.57,1,9,3.57,1.79,37.15,2,1.35,0.75,14,5,1.35,1.49,6,6,2.7,1.45,33.33,2,1.22,0.85,13,5,1.22,1.25,10,5,2.43,1.32,0.83,2,1.38,0.79,16,5,1.38,1.55,7,7,2.76,1.64,7.8,2,1.22,0.85,16,5,1.22,1.4,10,5,2.43,1.28,0,0,0,3,5,5,6,"ilp.162"
