"id","stats_varcount","stats_var_bool","stats_var_discrete","stats_dom_0","stats_dom_25","stats_dom_50","stats_dom_75","stats_dom_100","stats_dom_mean","stats_dom_not2_2_ratio","stats_branchingvars","stats_conscount","stats_arity_0","stats_arity_25","stats_arity_50","stats_arity_75","stats_arity_100","stats_arity_mean","stats_arity_mean_normalised","stats_cts_per_var_mean","stats_cts_per_var_mean_normalised","stats_alldiff_count","stats_alldiff_proportion","stats_sums_count","stats_sums_proportion","stats_or_atleastk_count","stats_or_atleastk_proportion","stats_binary_count","stats_binary_proportion","stats_table_count","stats_table_proportion","stats_lex_count","stats_lex_proportion","stats_unary_count","stats_unary_proportion","stats_multi_shared_vars","stats_edge_density","stats_Local_Variance","clustering_coefficient","minimum_degree","normalised_minimum_degree","maximum_degree","normalised_maximum_degree","median_degree","normalised_median_degree","mean_degree","normalised_mean_degree","width_of_ordering","normalised_width_of_ordering","width_of_graph","normalised_width_of_graph","SAC_literals","normalised_SAC_literals","stats_tightness_0","stats_tightness_25","stats_tightness_50","stats_tightness_75","stats_tightness_100","stats_tightness_mean","stats_tightness_mean_normalised","stats_literal_tightness_0","stats_literal_tightness_25","stats_literal_tightness_50","stats_literal_tightness_75","stats_literal_tightness_100","stats_literal_tightness_mean","stats_literal_tightness_coeff_of_variation","Class"
"1-fullins-3-3.xml.watchless.minion.gz",30,0,30,3,3,3,3,3,3,0,30,100,2,2,2,2,2,2,0.066667,6.666667,0.066667,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0.229885,0.364781,0.091828,4,0.133333,11,0.366667,6,0.2,6.666667,0.222222,11,0.366667,5,0.166667,0,0,324,324,324,324,324,324,3.24,32,32,33,35,35,33.333333,0.037417,"standard"
"1-fullins-3-4.xml.watchless.minion.gz",30,0,30,4,4,4,4,4,4,0,30,100,2,2,2,2,2,2,0.066667,6.666667,0.066667,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0.229885,0.364781,0.091828,4,0.133333,11,0.366667,6,0.2,6.666667,0.222222,11,0.366667,5,0.166667,0,0,263,263,263,263,263,263,2.63,20,26,27,27,27,25,0.116619,"standard"
"1-fullins-4-4.xml.watchless.minion.gz",93,0,93,4,4,4,4,4,4,0,93,593,2,2,2,2,2,2,0.021505,12.752688,0.021505,0,0,0,0,0,0,593,1,0,0,0,0,0,0,0,0.138616,0.236605,0.039056,6,0.064516,32,0.344086,11,0.11828,12.752688,0.137126,32,0.344086,9,0.096774,0,0,263,263,263,263,263,263,0.443508,20,26,27,27,27,25,0.116619,"standard"
"1-fullins-4-5.xml.watchless.minion.gz",93,0,93,5,5,5,5,5,5,0,93,593,2,2,2,2,2,2,0.021505,12.752688,0.021505,0,0,0,0,0,0,593,1,0,0,0,0,0,0,0,0.138616,0.236605,0.039056,6,0.064516,32,0.344086,11,0.11828,12.752688,0.137126,32,0.344086,9,0.096774,0,0,184,184,184,184,184,184,0.310287,16,17,21,23,23,20,0.148324,"standard"
"1-fullins-5-4.xml.watchless.minion.gz",282,0,282,4,4,4,4,4,4,0,282,3247,2,2,2,2,2,2,0.007092,23.028369,0.007092,0,0,0,0,0,0,3247,1,0,0,0,0,0,0,0,0.081951,0.147531,0.016686,8,0.028369,95,0.336879,20,0.070922,23.028369,0.081661,95,0.336879,15,0.053191,0,0,263,263,263,263,263,263,0.080998,20,26,27,27,27,25,0.116619,"standard"
"1-fullins-5-5.xml.watchless.minion.gz",282,0,282,5,5,5,5,5,5,0,282,3247,2,2,2,2,2,2,0.007092,23.028369,0.007092,0,0,0,0,0,0,3247,1,0,0,0,0,0,0,0,0.081951,0.147531,0.016686,8,0.028369,95,0.336879,20,0.070922,23.028369,0.081661,95,0.336879,15,0.053191,0,0,184,184,184,184,184,184,0.056668,16,17,21,23,23,20,0.148324,"standard"
"1-fullins-5-6.xml.watchless.minion.gz",282,0,282,6,6,6,6,6,6,0,282,3247,2,2,2,2,2,2,0.007092,23.028369,0.007092,0,0,0,0,0,0,3247,1,0,0,0,0,0,0,0,0.081951,0.147531,0.016686,8,0.028369,95,0.336879,20,0.070922,23.028369,0.081661,95,0.336879,15,0.053191,0,0,169,169,169,169,169,169,0.052048,13,14,18,19,20,16.666667,0.153623,"standard"
"1-insertions-4-3.xml.watchless.minion.gz",67,0,67,3,3,3,3,3,3,0,67,232,2,2,2,2,2,2,0.029851,6.925373,0.029851,0,0,0,0,0,0,232,1,0,0,0,0,0,0,0,0.10493,0.352067,0,4,0.059701,22,0.328358,6,0.089552,6.925373,0.103364,22,0.328358,5,0.074627,0,0,324,324,324,324,324,324,1.396552,32,32,33,35,35,33.333333,0.037417,"standard"
"1-insertions-4-4.xml.watchless.minion.gz",67,0,67,4,4,4,4,4,4,0,67,232,2,2,2,2,2,2,0.029851,6.925373,0.029851,0,0,0,0,0,0,232,1,0,0,0,0,0,0,0,0.10493,0.352067,0,4,0.059701,22,0.328358,6,0.089552,6.925373,0.103364,22,0.328358,5,0.074627,0,0,263,263,263,263,263,263,1.133621,20,26,27,27,27,25,0.116619,"standard"
"1-insertions-5-4.xml.watchless.minion.gz",202,0,202,4,4,4,4,4,4,0,202,1227,2,2,2,2,2,2,0.009901,12.148515,0.009901,0,0,0,0,0,0,1227,1,0,0,0,0,0,0,0,0.06044,0.243809,0,5,0.024752,67,0.331683,10,0.049505,12.148515,0.060141,67,0.331683,8,0.039604,0,0,263,263,263,263,263,263,0.214344,20,26,27,27,27,25,0.116619,"standard"
