"id","c_avg_deg_cons","c_avg_dom_cons","c_avg_domdeg_cons","c_cv_deg_cons","c_cv_dom_cons","c_cv_domdeg_cons","c_domain","c_ent_deg_cons","c_ent_dom_cons","c_ent_domdeg_cons","c_logprod_deg_cons","c_logprod_dom_cons","c_max_deg_cons","c_max_dom_cons","c_max_domdeg_cons","c_min_deg_cons","c_min_dom_cons","c_min_domdeg_cons","c_num_cons","c_ratio_cons","c_sum_ari_cons","c_sum_dom_cons","c_sum_domdeg_cons","d_array_cons","d_bool_cons","d_bool_vars","d_int_cons","d_int_vars","d_ratio_array_cons","d_ratio_bool_cons","d_ratio_bool_vars","d_ratio_int_cons","d_ratio_int_vars","d_ratio_set_cons","d_set_cons","gc_diff_globs","gc_global_cons","gc_ratio_diff","gc_ratio_globs","o_deg","o_deg_avg","o_deg_cons","o_deg_std","o_dom","o_dom_avg","o_dom_deg","o_dom_std","s_bool_search","s_first_fail","s_goal","s_indomain_max","s_indomain_min","s_input_order","s_int_search","s_labeled_vars","s_other_var","v_avg_deg_vars","v_avg_dom_vars","v_avg_domdeg_vars","v_cv_deg_vars","v_cv_dom_vars","v_cv_domdeg_vars","v_def_vars","v_ent_deg_vars","v_ent_dom_vars","v_ent_domdeg_vars","v_intro_vars","v_logprod_deg_vars","v_logprod_dom_vars","v_max_deg_vars","v_max_dom_vars","v_max_domdeg_vars","v_min_dom_vars","v_min_domdeg_vars","v_num_aliases","v_num_consts","v_num_vars","v_ratio_bounded","v_ratio_vars","v_sum_deg_vars","v_sum_dom_vars","v_sum_domdeg_vars","Choco.free","Concrete.free","G12FD.free","Gecode.free","HaifaCSP.free","JaCoP.fd","MZN.Cbc.free","MZN.CPLEX.free","MZN.Gurobi.free","MZN.SCIP.free","MinisatID.free","Mistral.free","OR.Tools.free","Picat.CP.fd","Picat.SAT.free","SICStus.Prolog.fd","iZplus.free","Choco.free_success","Concrete.free_success","G12FD.free_success","Gecode.free_success","HaifaCSP.free_success","JaCoP.fd_success","MZN.Cbc.free_success","MZN.CPLEX.free_success","MZN.Gurobi.free_success","MZN.SCIP.free_success","MinisatID.free_success","Mistral.free_success","OR.Tools.free_success","Picat.CP.fd_success","Picat.SAT.free_success","SICStus.Prolog.fd_success","iZplus.free_success","base","Class"
"12_2_10",2.99119,10.4205,2.67237,1.64715,1.65587,0.552259,0,1.12037,2.7167,1.44453,1859.25,2855.48,60,222.468,7.82018,2,2,1,1335,1.07747,3341,11924.2,2988.86,81,12,477,647,335,0.067041,0.026304,0.368066,0.683196,0.631934,0,0,1,2,0.333333,0.006711,1,0.306138,0.000749,-0.507963,987,11.4574,761,5.4699,0,0,2,0,5,0,5,5,0,3.61485,25.8322,14.8842,1.26469,2.9623,4.5308,758,1.68202,1.13574,1.64997,1311,1547.86,2092.13,35,1009,901,2,0.133333,539,328,995,0.925956,0.928097,4628,27506,13219.8,126.418,1200,1200,620.651,0.057,0.255,0.048,0.047,0.036,0.051,1200,829.891,1200,1200,74.125,1200,869.603,"TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE",0,"LCG.Glucose.free"
"12_2_5",2.99119,10.4205,2.67237,1.64715,1.65587,0.552259,0,1.12037,2.7167,1.44453,1859.25,2855.48,60,222.468,7.82018,2,2,1,1335,1.07747,3341,11924.2,2988.86,81,12,477,647,335,0.067041,0.026304,0.368066,0.683196,0.631934,0,0,1,2,0.333333,0.006711,1,0.306138,0.000749,-0.507963,987,11.4574,761,5.4699,0,0,2,0,5,0,5,5,0,3.61485,25.8322,14.8842,1.26469,2.9623,4.5308,758,1.68202,1.13574,1.64997,1311,1547.86,2092.13,35,1009,901,2,0.133333,539,328,995,0.925956,0.928097,4628,27506,13219.8,68.033,1200,929.137,121.794,0.047,0.633,0.041,0.052,0.039,0.048,1200,706.316,1200,391.805,1.842,681.842,226.013,"TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE",0,"newJointClass"
"12__6__8__3",4.04709,19.0514,3.30295,1.12012,2.03343,0.834725,0,1.74751,2.24067,1.34785,1929.68,3250.27,49,588.017,12.0004,2,2,1,1168,1.95973,2837,22252.1,3857.84,90,449,347,365,249,0.077055,0.384418,0.582215,0.3125,0.417785,0,0,1,264,0.003788,0.226027,1,0.126084,0.000856,-1.13865,11701,16.0437,11701,6.80612,0,0,2,0,5,5,5,5,0,7.93121,729.322,69.803,0.7675,2.21032,7.08564,353,2.80482,0.68154,1.54102,1297,1525.74,1741.55,57,11701,11701,2,0.035088,880,793,596,2.80705,0.510274,4727,434676,41602.6,1000.328,6.162,69.287,937.727,1.561,1200,12.402,1.327,1.129,15.627,2.719,3.276,423.974,1200,18.154,1200,0.694,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE",0.12,"Chuffed.free"
"12__8__6__3",4.13267,19.7907,3.35485,1.11432,2.00204,0.826173,0,1.761,2.22793,1.35766,1859.25,3138.55,49,588.017,12.0004,2,2,1,1108,1.97857,2681,21928.1,3717.17,78,425,311,341,249,0.070397,0.383574,0.555357,0.307762,0.444643,0,0,1,264,0.003788,0.238267,1,0.122297,0.000903,-1.21516,11701,15.0771,11701,6.61266,0,0,2,0,5,5,5,5,0,8.17679,776.079,74.4285,0.722293,2.12881,6.85176,317,2.82678,0.706948,1.58106,1261,1462.51,1705.55,45,11701,11701,2,0.044444,880,793,560,2.9875,0.505415,4579,434604,41680,314.622,6.148,38.114,277.711,2.013,497.26,44.038,1.309,1.162,16.515,2.127,1.026,130.878,1200,18.878,494.596,0.649,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE",0.16,"Chuffed.free"
"14__10__8__3",4.17528,20.0702,3.35361,1.14073,2.0278,0.822701,0,1.73184,2.16537,1.33611,2422.26,4076.87,57,684.02,12.0004,2,2,1,1432,2.14371,3421,28740.5,4802.36,98,565,379,405,289,0.068436,0.394553,0.567365,0.282821,0.432635,0,0,1,364,0.002747,0.25419,1,0.111724,0.000698,-1.14794,13651,18.1546,13651,7.84463,0,0,2,0,5,5,5,5,0,8.9506,751.931,66.1474,0.7738,2.18679,8.15645,385,2.81304,0.691781,1.55293,1433,1790.97,1989.78,57,13651,13651,2,0.035088,1024,817,668,2.75599,0.46648,5979,502290,44186.4,1200,7.846,1200,1200,6.361,1200,30.08,1.812,1.547,9.453,3.985,37.162,1200,1200,21.582,1200,1.208,"FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE",0.188,"Chuffed.free"
"14__6__8__3",4.21071,20.3746,3.37074,1.14049,2.01686,0.817423,0,1.72205,2.15069,1.32999,2382,4013.57,57,684.02,12.0004,2,2,1,1400,2.14724,3341,28524.5,4719.03,90,549,363,397,289,0.064286,0.392143,0.556748,0.283571,0.443252,0,0,1,364,0.002747,0.26,1,0.110602,0.000714,-1.16388,13651,17.7209,13651,7.75888,0,0,2,0,5,5,5,5,0,9.04141,770.334,68.0001,0.764165,2.15506,8.03137,369,2.79624,0.701652,1.56049,1417,1756.1,1973.78,57,13651,13651,2,0.035088,1024,817,652,2.82362,0.465714,5895,502258,44336.1,261.227,6.093,83.321,235.485,2.755,499.643,15.88,1.916,1.62,24.295,3.089,4.565,115.033,1200,10.637,419.38,0.964,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE",0.192,"Chuffed.free"
"14__8__6__3",4.28881,21.0451,3.41669,1.13495,1.98919,0.809639,0,1.72778,2.13055,1.33666,2311.58,3901.85,57,684.02,12.0004,2,2,1,1340,2.17532,3185,28200.5,4578.36,78,525,327,373,289,0.058209,0.391791,0.530844,0.278358,0.469156,0,0,1,364,0.002747,0.271642,1,0.107186,0.000746,-1.23095,13651,16.7448,13651,7.56283,0,0,2,0,5,5,5,5,0,9.32955,815.237,72.0998,0.725305,2.08187,7.78988,333,2.79616,0.724961,1.59454,1381,1692.87,1937.78,45,13651,13651,2,0.044444,1024,817,616,2.98864,0.459701,5747,502186,44413.5,93.82,5.53,46.763,74.057,2.475,149.974,1200,1.824,1.558,13.548,3.106,3.241,39.57,1200,19.965,129.9,0.599,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE",0.148,"Chuffed.free"
"18_3_10",2.99119,10.4205,2.67237,1.64715,1.65587,0.552259,0,1.12037,2.7167,1.44453,1859.25,2855.48,60,222.468,7.82018,2,2,1,1335,1.07747,3341,11924.2,2988.86,81,12,477,647,335,0.067041,0.026304,0.368066,0.683196,0.631934,0,0,1,2,0.333333,0.006711,1,0.306138,0.000749,-0.507963,987,11.4574,761,5.4699,0,0,2,0,5,0,5,5,0,3.61485,25.8322,14.8842,1.26469,2.9623,4.5308,758,1.68202,1.13574,1.64997,1311,1547.86,2092.13,35,1009,901,2,0.133333,539,328,995,0.925956,0.928097,4628,27506,13219.8,1200,1200,1200,1200,0.036,0.505,0.034,0.044,0.04,0.051,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"newJointClass"
"18_3_5",2.99119,10.4205,2.67237,1.64715,1.65587,0.552259,0,1.12037,2.7167,1.44453,1859.25,2855.48,60,222.468,7.82018,2,2,1,1335,1.07747,3341,11924.2,2988.86,81,12,477,647,335,0.067041,0.026304,0.368066,0.683196,0.631934,0,0,1,2,0.333333,0.006711,1,0.306138,0.000749,-0.507963,987,11.4574,761,5.4699,0,0,2,0,5,0,5,5,0,3.61485,25.8322,14.8842,1.26469,2.9623,4.5308,758,1.68202,1.13574,1.64997,1311,1547.86,2092.13,35,1009,901,2,0.133333,539,328,995,0.925956,0.928097,4628,27506,13219.8,1200,1200,1200,1200,0.052,0.397,0.042,0.044,0.047,0.053,1200,1200,1200,1200,4.766,1200,1088.674,"FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE",0,"newJointClass"
"24_4_10",2.99119,10.4205,2.67237,1.64715,1.65587,0.552259,0,1.12037,2.7167,1.44453,1859.25,2855.48,60,222.468,7.82018,2,2,1,1335,1.07747,3341,11924.2,2988.86,81,12,477,647,335,0.067041,0.026304,0.368066,0.683196,0.631934,0,0,1,2,0.333333,0.006711,1,0.306138,0.000749,-0.507963,987,11.4574,761,5.4699,0,0,2,0,5,0,5,5,0,3.61485,25.8322,14.8842,1.26469,2.9623,4.5308,758,1.68202,1.13574,1.64997,1311,1547.86,2092.13,35,1009,901,2,0.133333,539,328,995,0.925956,0.928097,4628,27506,13219.8,1200,1200,1200,1200,0.051,0.346,0.041,0.046,0.046,0.044,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"newJointClass"
