"id","cheap.pattern.time","cheap.pattern.vertices","cheap.pattern.edges","cheap.pattern.loops","cheap.pattern.meandeg","cheap.pattern.maxdeg","cheap.pattern.degisfixed","cheap.pattern.density","cheap.target.time","cheap.target.vertices","cheap.target.edges","cheap.target.loops","cheap.target.meandeg","cheap.target.maxdeg","cheap.target.degisfixed","cheap.target.density","distance.pattern.time","distance.pattern.isconnected","distance.pattern.meandistance","distance.pattern.maxdistance","distance.pattern.proportiondistancege2","distance.pattern.proportiondistancege3","distance.pattern.proportiondistancege4","distance.target.time","distance.target.isconnected","distance.target.meandistance","distance.target.maxdistance","distance.target.proportiondistancege2","distance.target.proportiondistancege3","distance.target.proportiondistancege4","glasgow4","glasgow4_success","cheap_pattern","cheap_target","distance_pattern","distance_target","Class"
"A.01",0,180,497,0,5.52222,8,0,0.03085,0,200,612,0,6.12,8,0,0.030754,2,1,3.25357,5,0.963765,0.829383,0.415988,3,1,3.14462,5,0.9644,0.81675,0.34545,119,TRUE,0,0,3,3,"glasgow1"
"A.02",0,180,491,0,5.45556,8,0,0.030478,0,200,601,0,6.01,8,0,0.030201,2,1,3.27083,5,0.964136,0.833333,0.428395,3,1,3.17457,5,0.96495,0.82225,0.36615,110,TRUE,0,0,3,3,"glasgow1"
"A.03",0,180,503,0,5.58889,8,0,0.031223,0,200,609,0,6.09,8,0,0.030603,2,1,3.21986,5,0.963395,0.825062,0.396358,3,1,3.15266,5,0.96455,0.81745,0.3515,130,TRUE,0,0,3,3,"glasgow1"
"A.04",0,180,496,0,5.51111,8,0,0.030788,0,200,611,0,6.11,8,0,0.030704,2,1,3.24053,5,0.963827,0.82821,0.411667,3,1,3.14085,5,0.96445,0.81575,0.34385,157,TRUE,0,0,3,3,"glasgow1"
"A.05",0,180,491,0,5.45556,8,0,0.030478,0,200,604,0,6.04,8,0,0.030352,2,1,3.24438,6,0.964136,0.829938,0.412222,3,1,3.14693,5,0.9648,0.8177,0.3467,103,TRUE,0,0,3,3,"glasgow1"
"A.06",0,180,483,0,5.36667,8,0,0.029981,0,200,604,0,6.04,8,0,0.030352,2,1,3.29212,6,0.96463,0.835802,0.438333,3,1,3.16141,5,0.9648,0.8193,0.3568,120,TRUE,0,0,3,3,"glasgow1"
"A.07",0,180,488,0,5.42222,8,0,0.030292,0,200,592,0,5.92,8,0,0.029749,2,1,3.25798,6,0.964321,0.831667,0.420062,3,1,3.17884,5,0.9654,0.82445,0.3692,123,TRUE,0,0,3,3,"glasgow1"
"A.08",0,180,491,0,5.45556,8,0,0.030478,0,200,597,0,5.97,8,0,0.03,2,1,3.2712,6,0.964136,0.832778,0.429259,3,1,3.18171,5,0.96515,0.8246,0.37145,144,TRUE,0,0,3,3,"glasgow1"
"A.09",0,180,483,0,5.36667,8,0,0.029981,0,200,596,0,5.96,8,0,0.02995,2,1,3.29013,6,0.96463,0.836049,0.43821,3,1,3.18005,5,0.9652,0.82375,0.3691,99,TRUE,0,0,3,3,"glasgow1"
"A.10",0,180,493,0,5.47778,8,0,0.030602,0,200,612,0,6.12,8,0,0.030754,2,1,3.245,5,0.964012,0.828951,0.41216,3,1,3.12663,5,0.9644,0.8144,0.3325,110,TRUE,0,0,3,3,"glasgow1"
"A.11",0,180,489,0,5.43333,8,0,0.030354,0,200,599,0,5.99,8,0,0.030101,2,1,3.26561,6,0.964259,0.831481,0.423025,3,1,3.16764,5,0.96505,0.8215,0.3616,103,TRUE,0,0,3,3,"glasgow1"
