"id","f_1","f_2","f_3","f_8","f_9","f_10","f_11","f_12","f_13","f_14","f_15","f_16","f_17","f_18","f_19","f_20","f_21","f_22","f_23","f_24","f_25","f_29","f_30","f_31","f_32","f_34","f_35","f_36","f_37","CCEHC2akms","CCLS2akms","Naps.1.02.ms","WMaxSatz.","WMaxSatz09","ahms.1.70","ahms.ls.1.70","CCEHC2akms_success","CCLS2akms_success","Naps.1.02.ms_success","WMaxSatz._success","WMaxSatz09_success","ahms.1.70_success","ahms.ls.1.70_success","base","Class"
"10tree110p.wcnf",6642,25589,0.00821,0.25956,0.00039,1.09721,0.00012,0.00262,0.0025,0.00039,0.37063,0.00015,9e-04,0.00075,0.43103,0.2394,0,0.75,0.75,0.40416,0.65519,0.00993,0.67185,0.78334,0.00024,4e-05,0.00137,0.00133,0.74571,1800,1800,12.44,408.65,421.39,1800,1800,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0.03,"mscg2015a"
"10tree115p.wcnf",4564,16586,0.01266,0.27517,0.00055,1.14373,0.00024,0.00416,0.00392,0.00055,0.31898,0.00022,0.00088,0.00066,0.43826,0.21183,0.25,0.66667,0.41667,0.4124,0.66114,0.01266,0.65833,0.81647,0.00034,0.00012,0.00205,0.00193,0.73767,1800,1800,20.08,113.16,113.28,217.87,146.53,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.01,"mscg2015a"
"10tree120p.wcnf",6708,25809,0.00814,0.25991,0.00038,1.09619,0.00012,0.0026,0.00248,0.00038,0.37097,0.00015,0.00089,0.00075,0.43056,0.24039,0,0.75,0.75,0.40348,0.65718,0.00984,0.67635,0.78647,0.00024,4e-05,0.00136,0.00132,0.74745,1800,1800,74.85,771.53,771.37,680.19,651.92,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.03,"mscg2015a"
"10tree125p.wcnf",4604,16706,0.01257,0.27559,0.00054,1.14241,0.00024,0.00413,0.00389,0.00054,0.31865,0.00022,0.00087,0.00065,0.43786,0.21227,0.25,0.66667,0.41667,0.41179,0.66273,0.01257,0.66198,0.81839,0.00034,0.00012,0.00204,0.00192,0.73896,1800,1800,68.86,495.05,490.49,526.91,684.12,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.02,"mscg2015b"
"10tree130p.wcnf",6744,25929,0.0081,0.26009,0.00038,1.09546,0.00012,0.00258,0.00247,0.00038,0.37121,0.00015,0.00089,0.00074,0.43026,0.2406,0,0.75,0.75,0.40312,0.65826,0.0098,0.67878,0.78815,0.00023,4e-05,0.00135,0.00131,0.74839,1800,1800,269.73,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.03,"mscg2015b"
"10tree210p.wcnf",4572,16610,0.01264,0.27526,0.00055,1.14431,0.00024,0.00415,0.00391,0.00055,0.31892,0.00022,0.00087,0.00066,0.43832,0.21264,0.25,0.66667,0.41667,0.41228,0.66143,0.01264,0.65906,0.81686,0.00034,0.00012,0.00205,0.00193,0.73793,1800,1800,7.33,116.26,117.54,70.82,51.58,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.01,"mscg2015a"
"10tree215p.wcnf",6738,25909,0.00811,0.26006,0.00038,1.09638,0.00012,0.00259,0.00247,0.00038,0.37128,0.00015,0.00089,0.00074,0.4305,0.2419,0,0.75,0.75,0.40318,0.65814,0.0098,0.67837,0.78787,0.00023,4e-05,0.00135,0.00131,0.74823,1800,1800,32.1,414.96,436.86,310.76,222.52,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.03,"LMHS.2016"
"10tree220p.wcnf",4648,16838,0.01247,0.27604,0.00054,1.14261,0.00024,0.0041,0.00386,0.00054,0.31837,0.00022,0.00086,0.00065,0.43777,0.21447,0.25,0.66667,0.41667,0.41112,0.66455,0.01247,0.66593,0.82047,0.00034,0.00012,0.00202,0.0019,0.74035,1800,1800,29.35,262.67,256.11,221.94,215.08,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.01,"mscg2015a"
"10tree225p.wcnf",6804,26129,0.00804,0.2604,0.00038,1.09531,0.00011,0.00256,0.00245,0.00038,0.37166,0.00015,0.00088,0.00073,0.43005,0.24289,0,0.75,0.75,0.40252,0.66002,0.00972,0.68277,0.79092,0.00023,4e-05,0.00134,0.0013,0.74993,1800,1800,132.37,1800,1800,1462.15,1175.09,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.03,"LMHS.2016"
"10tree230p.wcnf",4668,16898,0.01243,0.27625,0.00054,1.14174,0.00024,0.00408,0.00385,0.00054,0.31815,0.00021,0.00086,0.00064,0.43752,0.21439,0.25,0.66667,0.41667,0.41082,0.66532,0.01243,0.66771,0.8214,0.00033,0.00012,0.00201,0.00189,0.74098,1800,1800,108.17,1108.68,1145.15,1085.8,918.81,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.01,"mscg2015b"
"10tree305p.wcnf",6600,25449,0.00825,0.25934,0.00039,1.09785,0.00012,0.00263,0.00251,0.00039,0.37016,0.00015,0.00091,0.00076,0.43131,0.2386,0,0.75,0.75,0.40459,0.65398,0.00998,0.66895,0.78133,0.00024,4e-05,0.00138,0.00134,0.74459,1800,1800,4.06,359.55,361.92,1800,1800,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0.02,"mscg2015a"
"10tree310p.wcnf",4544,16526,0.01271,0.27496,0.00055,1.14424,0.00024,0.00418,0.00393,0.00055,0.31908,0.00022,0.00088,0.00066,0.43841,0.2113,0.25,0.66667,0.41667,0.41272,0.66029,0.01271,0.65648,0.8155,0.00034,0.00012,0.00206,0.00194,0.73702,1800,1800,6.36,240.34,227.58,104.74,80.09,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.02,"mscg2015a"
"10tree315p.wcnf",6666,25669,0.00818,0.25969,0.00039,1.0968,0.00012,0.00261,0.00249,0.00039,0.37075,0.00015,9e-04,0.00075,0.43083,0.2396,0,0.75,0.75,0.40391,0.65594,0.0099,0.6735,0.78449,0.00024,4e-05,0.00136,0.00132,0.74635,1800,1800,38.67,967.39,985.59,1038.03,1236.57,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.03,"mscg2015a"
"10tree320p.wcnf",4568,16598,0.01265,0.27521,0.00055,1.14332,0.00024,0.00416,0.00392,0.00055,0.31896,0.00022,0.00088,0.00066,0.43813,0.21139,0.25,0.66667,0.41667,0.41234,0.66131,0.01265,0.65869,0.81666,0.00034,0.00012,0.00205,0.00193,0.7378,1800,1800,31.3,403.28,399.35,244.65,273.08,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.02,"mscg2015a"
"10tree325p.wcnf",6690,25749,0.00816,0.25982,0.00038,1.09623,0.00012,0.0026,0.00249,0.00038,0.37095,0.00015,9e-04,0.00075,0.4306,0.23944,0,0.75,0.75,0.40367,0.65666,0.00986,0.67513,0.78562,0.00024,4e-05,0.00136,0.00132,0.74698,1800,1800,105.26,1800,1800,1089.58,1038.38,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.03,"mscg2015b"
"10tree330p.wcnf",4596,16682,0.01259,0.27551,0.00055,1.14245,0.00024,0.00414,0.0039,0.00055,0.31871,0.00022,0.00087,0.00065,0.43783,0.21154,0.25,0.66667,0.41667,0.41191,0.66245,0.01259,0.66125,0.81801,0.00034,0.00012,0.00204,0.00192,0.7387,1800,1800,148.13,870.53,902.06,744.9,979.83,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.02,"mscg2015b"
"10tree405p.wcnf",6672,25689,0.00817,0.25972,0.00039,1.09741,0.00012,0.00261,0.00249,0.00039,0.37079,0.00015,9e-04,0.00075,0.43094,0.24072,0,0.75,0.75,0.40385,0.65612,0.00989,0.67391,0.78477,0.00024,4e-05,0.00136,0.00132,0.74651,1800,1800,3.46,961.12,1009.36,1800,1800,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0.03,"mscg2015a"
"10tree405posib.wcnf",4606,16439,0.01277,0.28019,0.00054,1.148,6e-05,0.0042,0.00414,0.00054,0.31943,0.00022,0.00087,0.00065,0.43617,0.23268,0,1,1,0.41275,0.66193,0.01734,0.65691,0.82268,0.00034,6e-05,0.00213,0.00207,0.74074,1800,1800,1.43,34.94,35.33,15.3,15.78,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.01,"WPM3.2015.co"
"10tree410p.wcnf",6714,25829,0.00813,0.25994,0.00038,1.09677,0.00012,0.00259,0.00248,0.00038,0.37107,0.00015,0.00089,0.00074,0.43066,0.24147,0,0.75,0.75,0.40342,0.6573,0.00983,0.67676,0.78675,0.00024,4e-05,0.00136,0.00132,0.74761,1800,1800,15.83,192.67,189.69,1800,1800,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0.03,"mscg2015a"
