"id","f_1","f_2","f_3","f_4","f_5","f_6","f_7","f_8","f_9","f_10","f_11","f_12","f_13","f_14","f_15","f_16","f_17","f_18","f_19","f_20","f_21","f_22","f_23","f_24","f_25","f_29","f_30","f_31","f_32","f_33","f_34","f_35","f_36","f_37","CCEHC2akms","CCLS2akms","Naps.1.02.ms","WMaxSatz.","WMaxSatz09","WPM3.2015.co","ahms.1.70","ahms.ls.1.70","maxino16.dis","CCEHC2akms_success","CCLS2akms_success","Naps.1.02.ms_success","WMaxSatz._success","WMaxSatz09_success","WPM3.2015.co_success","ahms.1.70_success","ahms.ls.1.70_success","maxino16.dis_success","base","Class"
"103c9978-5408-11df-9bc1-00163e7a6f5e_l1.wcnf",4531,25216,0.10093,2512.89233,7112.23389,8,85972,0.17969,5e-04,3.73835,8e-05,0.07384,0.07376,5e-04,0.42602,0.00022,0.01104,0.01081,0.48718,0.39332,0.02326,1,0.97674,0.56048,0.47979,0.19349,0.59014,0.98386,0.00021,0,4e-05,0.0144,0.01436,0.56409,1800,1800,1800,1800,1800,3.34,1800,1800,0.44,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.02,"maxhs.b"
"1401.wcsp.dir.wcnf",1127,15507,0.03147,1301.57178,817.69055,1,2000,0.07268,0.00194,1.00158,6e-05,0.01354,0.01348,0.00194,0.22462,0.00089,0.00355,0.00266,0.34313,1.06916,0,1,1,0.28354,1.18513,0.03147,0.79841,0.98626,0.00169,0,0,0.01348,0.01348,0.87715,1800,1800,1800,1800,1800,1775.64,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.01,"QMaxSAT16UC"
"1401.wcsp.log.wcnf",701,15294,0.03191,1301.57178,817.69055,1,2000,0.04583,0.00529,0.8433,7e-05,0.02517,0.02511,0.00529,0.29466,0.00143,0.00856,0.00713,0.73911,0.26001,0,0.99242,0.99242,0.70839,0.32158,0.01798,0.1307,0.39532,7e-05,0,7e-05,7e-05,0,0.03191,1800,1800,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.02,"maxhs.b"
"1403.wcsp.dir.wcnf",1643,19862,0.03348,955.49622,906.01575,1,2000,0.08272,0.00134,1.04282,5e-05,0.01057,0.01052,0.00134,0.23085,0.00061,0.00243,0.00183,0.31893,1.09715,0,1,1,0.25799,1.29767,0.03348,0.78854,0.98359,0.00117,0,0,0.01052,0.01052,0.88501,1800,1800,389.17,1800,1800,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.02,"newJointClass"
"1403.wcsp.log.wcnf",991,19536,0.03404,955.49622,906.01575,1,2000,0.05073,0.00382,0.82011,5e-05,0.01971,0.01966,0.00382,0.29958,0.00101,0.00605,0.00505,0.71996,0.29008,0,0.99242,0.99242,0.70089,0.32997,0.01735,0.125,0.36625,5e-05,0,5e-05,5e-05,0,0.03404,1800,1800,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.02,"maxhs.b"
"1405.wcsp.dir.wcnf",2295,30401,0.02812,743.43506,892.10138,1,2000,0.07549,0.00094,0.94334,3e-05,0.00691,0.00687,0.00094,0.21779,0.00044,0.00174,0.00131,0.28393,1.17723,0,1,1,0.20116,1.54265,0.02812,0.82961,0.98421,0.00085,0,0,0.00687,0.00687,0.91596,1800,1800,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.03,"maxhs.b"
"1405.wcsp.log.wcnf",1335,29921,0.02858,743.43506,892.10138,1,2000,0.04462,0.00288,0.70704,3e-05,0.01287,0.01283,0.00288,0.26114,0.00075,0.00449,0.00375,0.71406,0.26708,0,0.99242,0.99242,0.69236,0.33915,0.01253,0.09161,0.28983,3e-05,0,3e-05,3e-05,0,0.02858,1800,1800,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.04,"maxhs.b"
"1407.wcsp.dir.wcnf",3004,37639,0.02808,601.57806,853.77515,1,2000,0.07981,0.00072,0.95187,3e-05,0.00563,0.00561,0.00072,0.22019,0.00033,0.00133,0.001,0.26629,1.2027,0,1,1,0.18135,1.66517,0.02808,0.82667,0.98276,0.00066,0,0,0.00561,0.00561,0.9234,1800,1800,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.04,"maxhs.b"
"1407.wcsp.log.wcnf",1706,36990,0.02858,601.57806,853.77515,1,2000,0.04612,0.00228,0.68164,3e-05,0.01041,0.01038,0.00228,0.25706,0.00059,0.00352,0.00293,0.70949,0.259,0,0.99242,0.99242,0.68855,0.34326,0.01103,0.08386,0.26253,3e-05,0,3e-05,3e-05,0,0.02858,1800,1800,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.05,"maxhs.b"
"1502.wcsp.dir.wcnf",515,636,0.32862,426.79425,708.56213,1,2000,0.80975,0.00396,0.52666,0.00157,0.01415,0.01258,0.00396,0.49424,0.00194,0.00777,0.00583,0.46056,0.40315,0,1,1,0.28066,1.49733,0.32862,0.79403,0.83962,0.00244,0,0,0.01415,0.01415,0.76887,0.95,0.87,1.3,0.06,0.06,0.01,1.15,0.06,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,"Open.WBO16"
