"id","MeanAttributeEntropy","NoiseToSignalRatio","NumberOfNumericFeatures","NumberOfBinaryFeatures","DecisionStumpKappa","Quartile3SkewnessOfNumericAtts","NumberOfMissingValues","J48.001.ErrRate","HoeffdingAdwin.changes","PercentageOfNumericFeatures","MeanSkewnessOfNumericAtts","MinStdDevOfNumericAtts","NaiveBayesErrRate","MinMutualInformation","MajorityClassPercentage","NumberOfSymbolicFeatures","J48.00001.ErrRate","MaxNominalAttDistinctValues","PercentageOfMissingValues","MinKurtosisOfNumericAtts","MaxKurtosisOfNumericAtts","EquivalentNumberOfAtts","DecisionStumpErrRate","RandomTreeDepth3ErrRate","MaxStdDevOfNumericAtts","NaiveBayesAdwin.changes","Quartile3AttributeEntropy","MeanKurtosisOfNumericAtts","MinorityClassPerentage","J48.00001.Kappa","REPTreeDepth2ErrRate","Quartile2KurtosisOfNumericAtts","REPTreeDepth3AUC","RandomTreeDepth2ErrRate","Quartile1AttributeEntropy","MeanMeansOfNumericAtts","MeanStdDevOfNumericAtts","REPTreeDepth1Kappa","Dimensionality","REPTreeDepth2AUC","MinAttributeEntropy","NaiveBayesDdm.changes","MinNominalAttDistinctValues","MinorityClassSize","Quartile2AttributeEntropy","Quartile1SkewnessOfNumericAtts","Quartile3StdDevOfNumericAtts","Quartile1MutualInformation","Quartile2SkewnessOfNumericAtts","MajorityClassSize","REPTreeDepth3ErrRate","MaxAttributeEntropy","RandomTreeDepth2Kappa","HoeffdingDDM.changes","Quartile3KurtosisOfNumericAtts","NaiveBayesKappa","HoeffdingDDM.warnings","Quartile2StdDevOfNumericAtts","MeanNominalAttDistinctValues","REPTreeDepth1ErrRate","MaxMeansOfNumericAtts","NumberOfInstances","RandomTreeDepth1Kappa","J48.001.AUC","MaxSkewnessOfNumericAtts","J48.0001.AUC","RandomTreeDepth3AUC","MeanMutualInformation","RandomTreeDepth1ErrRate","RandomTreeDepth2AUC","MinMeansOfNumericAtts","PercentageOfBinaryFeatures","NumberOfFeatures","NaiveBayesAUC","DefaultAccuracy","NaiveBayesDdm.warnings","Quartile3MeansOfNumericAtts","REPTreeDepth1AUC","MaxMutualInformation","RandomTreeDepth1AUC","J48.0001.Kappa","Quartile1MeansOfNumericAtts","RandomTreeDepth3Kappa","Quartile1StdDevOfNumericAtts","REPTreeDepth2Kappa","Quartile2MeansOfNumericAtts","J48.00001.AUC","Quartile2MutualInformation","J48.001.Kappa","PercentageOfInstancesWithMissingValues","NumberOfClasses","StdvNominalAttDistinctValues","ClassEntropy","Quartile1KurtosisOfNumericAtts","Quartile3MutualInformation","MinSkewnessOfNumericAtts","PercentageOfSymbolicFeatures","J48.0001.ErrRate","NumberOfInstancesWithMissingValues","REPTreeDepth3Kappa","DecisionStumpAUC","X2361_weka.OneR","X2362_weka.J48","X2364_weka.IBk","X2367_weka.REPTree","X2368_weka.RandomTree","X2370_weka.LMT","X2371_weka.HoeffdingTree","X2373_weka.JRip","X2381_weka.NaiveBayes","X2647_weka.Logistic","X2869_weka.SMO_PolyKernel","X2882_weka.SMO_RBFKernel","X2889_weka.IBk","X2891_weka.HyperPipes","X2893_weka.OLM","X2894_weka.FURIA","X2897_weka.ConjunctiveRule","X2898_weka.SimpleCart","X2900_weka.LADTree","X2903_weka.AdaBoostM1_DecisionStump","X2906_weka.Bagging_REPTree","X6250_weka.DecisionTable","X6352_weka.BayesNet","X6355_weka.AdaBoostM1_NaiveBayes","X6378_weka.LogitBoost_DecisionStump","X8990_weka.MultilayerPerceptron","X8994_weka.MultilayerPerceptron","X8995_weka.MultilayerPerceptron","X2361_weka.OneR_success","X2362_weka.J48_success","X2364_weka.IBk_success","X2367_weka.REPTree_success","X2368_weka.RandomTree_success","X2370_weka.LMT_success","X2371_weka.HoeffdingTree_success","X2373_weka.JRip_success","X2381_weka.NaiveBayes_success","X2647_weka.Logistic_success","X2869_weka.SMO_PolyKernel_success","X2882_weka.SMO_RBFKernel_success","X2889_weka.IBk_success","X2891_weka.HyperPipes_success","X2893_weka.OLM_success","X2894_weka.FURIA_success","X2897_weka.ConjunctiveRule_success","X2898_weka.SimpleCart_success","X2900_weka.LADTree_success","X2903_weka.AdaBoostM1_DecisionStump_success","X2906_weka.Bagging_REPTree_success","X6250_weka.DecisionTable_success","X6352_weka.BayesNet_success","X6355_weka.AdaBoostM1_NaiveBayes_success","X6378_weka.LogitBoost_DecisionStump_success","X8990_weka.MultilayerPerceptron_success","X8994_weka.MultilayerPerceptron_success","X8995_weka.MultilayerPerceptron_success","Class"
"10041",-1,21.571102,48,1,0,3.539886,0,0.163744,0,97.959184,3.098574,0,0.176458,0.002508,75.186322,1,0.163744,-1,0,-2.004386,14389.000208,19.057465,0.248137,0.211092,21111483.86778,0,1.757839,78.396131,24.813678,0.535454,0.158702,0.184776,0.855157,0.211092,0.995975,-5685.667682,5487.210434,0.534444,0.010741,0.855157,0.963017,0,-1,1132,1.532104,0.002861,18.843477,0.005379,0.640384,3430,0.158702,2.485861,0.442028,1,12.90652,0.516938,20,1,-1,0.158702,26074559.210526,4562,0.442028,0.821322,119.962495,0.821322,0.724088,0.051849,0.211092,0.724088,-91638847.147731,2.040816,49,0.877973,0.751863,21,16.664516,0.855157,0.216414,0.724088,0.535454,0,0.442028,0.302261,0.534444,0.102076,0.821322,0.029603,0.535454,0,2,-1,0.808312,-1.171043,0.07241,-75.962778,2.040816,0.163744,0,0.534444,0.745458,0.795923,0.835379,0.770934,0.836475,0.782113,0.84612,0.774003,0.83516,0.828584,0.840859,0.835598,0.813021,0.819597,0.758001,0.795704,0.831434,0.751863,0.84897,0.841736,0.830118,0.848093,0.840421,0.767427,0.828584,0.839982,0.820035,0.821789,0.810829,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","newJointClass"
"10045",-1,21.571102,10936,1,0.884191,3.715534,0,0.069841,0,99.990857,3.266191,419.452574,0.042857,0.002508,54.603175,1,0.066667,-1,0,-0.7077,623.854511,19.057465,0.057143,0.085714,59114.865731,0,1.757839,31.73235,45.396825,0.865448,0.055556,7.406809,0.951166,0.139683,0.995975,3451.636717,1820.398291,0.865129,17.360317,0.951166,0.963017,10,-1,286,1.532104,1.315658,1662.124667,0.005379,2.005723,344,0.055556,2.485861,0.712657,13,24.033563,0.913118,14,865.210219,-1,0.066667,114893.941746,630,0.685444,0.93103,25.015611,0.942663,0.923794,0.051849,0.153968,0.898561,45.093492,0.009143,10937,0.954271,0.546032,9,2842.900794,0.932479,0.216414,0.868988,0.865448,958.288254,0.826184,580.211377,0.887906,1570.820159,0.942663,0.029603,0.859206,0,2,-1,0.993877,3.123279,0.07241,-0.085471,0.009143,0.066667,0,0.887906,0.940011,0.955556,0.953968,0.936508,0.953968,0.887302,0.953968,0.957143,0.949206,0.957143,0.957143,0.95873,0.942857,0.947619,0.939683,0.546032,0.957143,0.953968,0.947619,0.955556,0.963492,0.963492,0.938095,0.950794,0.952381,0.953968,0.546032,0.546032,0.546032,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","X2904_weka.AdaBoostM1_J48"
"10046",-1,21.571102,10936,1,0.918886,3.583737,0,0.048013,0,99.990857,3.15002,395.010826,0.028146,0.002508,56.953642,1,0.048013,-1,0,-1.384623,597.853028,19.057465,0.039735,0.10596,248857.443446,0,1.757839,28.082378,43.046358,0.902034,0.039735,7.129003,0.953947,0.10596,0.995975,3384.87195,1882.157387,0.918886,18.107616,0.953947,0.963017,10,-1,260,1.532104,1.266199,1664.414204,0.005379,2.029494,344,0.039735,2.485861,0.781437,9,21.200967,0.942463,13,875.100196,-1,0.039735,129230.071429,604,0.781437,0.950805,24.490381,0.950805,0.886315,0.051849,0.10596,0.886315,46.38719,0.009143,10937,0.970125,0.569536,9,2781.459235,0.953947,0.216414,0.886315,0.902034,935.364472,0.781437,580.312011,0.918886,1537.898554,0.950805,0.029603,0.902034,0,2,-1,0.986003,2.837359,0.07241,-0.482788,0.009143,0.048013,0,0.918886,0.953947,0.97351,0.948675,0.966887,0.963576,0.928808,0.958609,0.970199,0.960265,0.970199,0.958609,0.980132,0.958609,0.970199,0.965232,0.569536,0.970199,0.965232,0.965232,0.970199,0.966887,0.963576,0.948675,0.97351,0.971854,0.966887,0.513245,0.513245,0.513245,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","newJointClass"
"10047",-1,21.571102,1776,1,0.471896,10.525685,0,0.253532,0,99.943725,8.202368,0.002721,0.341509,0.002508,54.22554,1,0.250333,-1,0,-2.000266,3745.0008,19.057465,0.26313,0.389763,0.500067,0,1.757839,162.18877,45.77446,0.493548,0.250333,43.098687,0.766297,0.38683,0.995975,0.08788,0.158031,0.471896,0.47374,0.763502,0.963017,0,-1,1717,1.532104,2.478764,0.253003,0.005379,6.273979,2034,0.243668,2.485861,0.20699,1,144.329705,0.295015,32,0.107613,-1,0.26313,0.974167,3751,0.198918,0.745383,61.212752,0.745568,0.643393,0.051849,0.388963,0.643595,4.4e-05,0.056275,1777,0.718025,0.542255,16,0.095908,0.732631,0.216414,0.623991,0.492,0.006487,0.198795,0.045367,0.489171,0.019995,0.750057,0.029603,0.487543,0,2,-1,0.994842,6.235014,0.07241,-31.443752,0.056275,0.251133,0,0.505251,0.732631,0.639296,0.73687,0.750733,0.760597,0.688616,0.770195,0.538256,0.758198,0.655559,0.676886,0.752066,0.78779,0.733671,0.486004,0.457745,0.769661,0.729139,0.767795,0.754999,0.73927,0.789123,0.756865,0.687283,0.702746,0.755798,0.543322,0.61237,0.543055,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","X2369_weka.RandomForest"
"10050",-1,21.571102,970,1,0.442476,1.266625,0,0.158016,0,99.897013,1.666313,0,0.232699,0.002508,50.836217,1,0.158016,-1,0,-2.004386,14389.000208,19.057465,0.277393,0.245098,21111483.86778,0,1.757839,45.031963,49.163783,0.683977,0.145905,-0.508136,0.900134,0.245098,0.995975,-7948.220621,7658.612794,0.708192,0.279988,0.900134,0.963017,0,-1,1705,1.532104,-0.018144,26.705939,0.005379,0.146487,1763,0.145905,2.485861,0.509525,0,2.203072,0.533441,5,1,-1,0.145905,26074559.210526,3468,0.509525,0.843794,119.962495,0.843794,0.754689,0.051849,0.245098,0.754689,-91638847.147731,0.102987,971,0.823548,0.508362,4,27.878171,0.900134,0.216414,0.754689,0.683977,0,0.509525,1,0.708192,0.402299,0.843794,0.029603,0.683977,0,2,-1,0.999798,-1.194974,0.07241,-75.962778,0.102987,0.158016,0,0.708192,0.72499,0.731546,0.871396,0.822664,0.879469,0.780277,0.906286,0.767878,0.892157,0.770761,0.740196,0.835928,0.929066,0.826413,0.614187,0.508362,0.914937,0.722895,0.884371,0.846021,0.801903,0.907151,0.839389,0.803633,0.818051,0.829296,0.907151,0.910323,0.905421,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","X2369_weka.RandomForest"
"10053",-1,21.571102,1558,1,0.529897,17.175689,0,0.041476,2,99.935856,13.954565,0.034911,0.040561,0.002508,86.00183,1,0.041171,-1,0,-1.122773,814.501831,19.057465,0.090271,0.121378,130.657205,7,1.757839,206.762999,13.99817,0.818932,0.060994,213.538537,0.870788,0.127478,0.995975,0.112094,0.201051,0.521023,0.47545,0.826429,0.963017,1,-1,459,1.532104,11.748748,0.083916,0.005379,14.681241,2820,0.046051,2.485861,0.16407,1,293.003975,0.819169,0,0.067491,-1,0.089661,112.659347,3279,0.157645,0.896134,28.574501,0.896134,0.686807,0.051849,0.128088,0.678228,0.00122,0.064144,1559,0.94384,0.860018,0,0.007091,0.696632,0.216414,0.553046,0.817414,0.003355,0.226347,0.057831,0.718996,0.004575,0.896076,0.029603,0.817414,0,2,-1,0.584191,136.044887,0.07241,-1.240968,0.064144,0.041476,0,0.792666,0.722287,0.927417,0.972248,0.964623,0.966758,0.965233,0.971638,0.860018,0.972248,0.960964,0.946325,0.972858,0.959439,0.94663,0.773102,0.309851,0.968893,0.921927,0.968588,0.967063,0.920708,0.973468,0.957304,0.966148,0.965538,0.953339,0.860018,0.860018,0.860018,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","X2369_weka.RandomForest"
"10054",-1,21.571102,21,1,0,3.603829,25,0.198438,3,95.454545,3.163798,0,0.196601,0.002508,80.652274,1,0.198438,-1,0.01044,-2.004386,14389.000208,19.057465,0.193477,0.250253,21111483.86778,2,1.757839,79.547069,19.347726,0.195445,0.19017,0.244551,0.699265,0.250253,0.995975,-5416.443735,5616.136871,0.167367,0.002021,0.699265,0.963017,2,-1,2106,1.532104,0.004968,20.159381,0.005379,0.681434,8779,0.19017,2.485861,0.199866,1,13.870491,0.197397,1,1,-1,0.19017,26074559.210526,10885,0.199866,0.659273,119.962495,0.659273,0.59084,0.051849,0.250253,0.59084,-91638847.147731,4.545455,22,0.654348,0.806523,2,17.525683,0.699265,0.216414,0.59084,0.195445,0,0.199866,0.310339,0.167367,0.117204,0.659273,0.029603,0.195445,0.045935,2,-1,0.708689,-1.168008,0.07241,-75.962778,4.545455,0.198438,5,0.167367,0.662084,0.795407,0.795039,0.765825,0.806798,0.757648,0.810565,0.807625,0.810841,0.804777,0.813229,0.807441,0.806523,0.810014,0.807074,0.773174,0.793385,0.806523,0.810657,0.807258,0.806982,0.811576,0.809095,0.681121,0.804777,0.807166,0.809646,0.811116,0.811116,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","X2369_weka.RandomForest"
"10055",-1,21.571102,21,1,0,3.667283,0,0.152679,2,95.454545,3.216656,0,0.17449,0.002508,84.542437,1,0.152679,-1,0,-2.004386,14389.000208,19.057465,0.154576,0.176387,21111483.86778,2,1.757839,80.199805,15.457563,0.223027,0.144144,0.433442,0.764936,0.176387,0.995975,-5153.941212,5516.14701,0.184938,0.010431,0.764936,0.963017,1,-1,326,1.532104,0.009919,22.047802,0.005379,0.770575,1783,0.144144,2.485861,0.311319,1,14.388771,0.30084,1,1,-1,0.144144,26074559.210526,2109,0.311319,0.703078,119.962495,0.703078,0.640408,0.051849,0.176387,0.640408,-91638847.147731,4.545455,22,0.78955,0.845424,1,18.267943,0.764936,0.216414,0.640408,0.223027,0,0.311319,0.32459,0.184938,0.162366,0.703078,0.029603,0.223027,0,2,-1,0.621173,-1.159316,0.07241,-75.962778,4.545455,0.152679,0,0.184938,0.712375,0.837364,0.846373,0.845424,0.84495,0.819346,0.85633,0.845424,0.854908,0.826458,0.857752,0.847321,0.845424,0.846847,0.85064,0.832622,0.849692,0.845424,0.84495,0.848743,0.848269,0.85633,0.853485,0.70697,0.826458,0.857278,0.85633,0.858227,0.865339,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","newJointClass"
"10067",-1,21.571102,11,1,0.425235,0.813521,0,0.159043,2,91.666667,0.274527,0.110511,0.273239,0.002508,64.837014,1,0.159043,-1,0,-1.725478,16.759645,19.057465,0.275815,0.191062,817.882087,2,1.757839,1.953307,35.162986,0.638574,0.153049,-0.292665,0.87364,0.191062,0.995975,472.171974,55.698425,0.650908,0.000631,0.87364,0.963017,1,-1,6688,1.532104,-0.594292,38.299546,0.005379,0.275481,12332,0.153049,2.485861,0.580117,1,4.230451,0.328548,0,0.355952,-1,0.153049,9132.161644,19020,0.580117,0.851918,3.371273,0.851918,0.789463,0.051849,0.191062,0.789463,-4.331745,8.333333,12,0.756665,0.64837,0,19.272111,0.87364,0.216414,0.789463,0.638574,0.361516,0.580117,0.287546,0.650908,0.546751,0.851918,0.029603,0.638574,0,2,-1,0.935515,-0.626944,0.07241,-1.703351,8.333333,0.159043,0,0.650908,0.729727,0.704942,0.850631,0.808254,0.850841,0.820662,0.86388,0.8153,0.847424,0.726972,0.790904,0.791167,0.780967,0.835962,0.664196,0.700526,0.847739,0.731335,0.855731,0.830284,0.788906,0.870873,0.826236,0.778496,0.799474,0.816193,0.86388,0.864564,0.864458,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","X2369_weka.RandomForest"
"10069",-1,21.571102,5,1,0.843466,3.540296,0,0.057317,27,83.333333,3.091089,0,0.314571,0.002508,67.14056,1,0.057317,-1,0,-2.004386,14389.000208,19.057465,0.065552,0.06954,21111483.86778,19,1.757839,77.667238,32.85944,0.865841,0.059054,0.21313,0.953849,0.06954,0.995975,-5488.681779,5579.425965,0.862182,0.000386,0.953849,0.963017,59,-1,5108,1.532104,0.003676,19.468894,0.005379,0.661981,10437,0.059054,2.485861,0.842043,4,12.993299,0.400462,35,1,-1,0.059054,26074559.210526,15545,0.842043,0.947158,119.962495,0.947158,0.920075,0.051849,0.06954,0.920075,-91638847.147731,16.666667,6,0.828391,0.671406,190,17.050517,0.953849,0.216414,0.920075,0.865841,0,0.842043,0.305506,0.862182,0.109583,0.947158,0.029603,0.865841,0,2,-1,0.913484,-1.169698,0.07241,-75.962778,16.666667,0.057317,0,0.862182,0.899418,0.949308,0.946092,0.889482,0.945191,0.936764,0.946156,0.933934,0.941911,0.686073,0.849727,0.832744,0.746221,0.882985,0.341653,0.781859,0.935606,0.934448,0.947057,0.943326,0.934448,0.949823,0.943905,0.934963,0.794532,0.930524,0.905243,0.904664,0.904471,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","X2369_weka.RandomForest"
