"id","EXIST_VARS","FORALL_VARS","TOTAL_VARS","CLAUSES","LITERALS","EXIST_SET","FORALL_SET","TOTAL_SET","UNARY_CLAUSES","BINARY_CLAUSES","TERNARY_MORE_CLAUSES","POS_HORN","NEG_HORN","EXIST_LIT_PER_CLAUSE","FORALL_LIT_PER_CLAUSE","EXIST_VARS_PER_SET","FORALL_POS_LITS_PER_CLAUSE","FORALL_NEG_LITS_PER_CLAUSE","OCCS_POS_NO_PER_VAR","OCCS_FORALL_NO_PER_VAR","OCCS_FORALL_POS_NO_PER_VAR","W_OCCS_POS_NO_PER_VAR","W_OCCS_FORALL_NO_PER_VAR","W_OCCS_FORALL_POS_NO_PER_VAR","W_PRODUCTS","LITN_LIT","LITEP_LIT","LITEN_LITE","LITEN_LITN","LITFN_LIT","LITFP_LITFN","OCCP_OCCN","OCCE_OCC","OCCEN_OCC","OCCFP_OCCF","OCCEN_OCCE","OCCEN_OCCN","OCCFP_OCCFN","TERMORE_CLAUSE","NEG_HORN_CLAUSE","WOCCN_WOCC","WOCCEP_WOCC","WOCCFN_WOCC","WOCCEP_WOCCE","WOCCEP_WOCCP","WOCCFN_WOCCN","Class"
"Adder2-10-s-shuffled",7424,545,7969,9664,23622,3,3,6,1,5368,4295,7829,7024,2.008692,0.435637,2474.666667,0.217819,0.217819,1.313716,7.724771,3.862385,6.560296,21.155963,10.577982,11.308998,0.556811,0.354077,0.569132,0.83996,0.089112,1,0.79594,0.882103,0.502034,0.5,0.569132,0.901622,1,0.444433,0.726821,0.566732,0.413789,0.698612,0.426218,0.955042,1.232703,"sKizzo"
"Adder2-4-s-shuffled",1085,86,1171,1405,3435,3,3,6,1,778,626,1139,1021,2.014947,0.429893,361.666667,0.214947,0.214947,1.300598,7.023256,3.511628,6.53117,19.860465,9.930233,11.192627,0.556623,0.355459,0.568704,0.84205,0.087918,1,0.796548,0.889488,0.505855,0.5,0.568704,0.908793,1,0.445552,0.72669,0.566194,0.415911,0.659575,0.426705,0.958749,1.164927,"quantor"
"Adder2-6-c-shuffled",2606,159,2765,3333,8155,4,3,7,1,1842,1490,2695,2421,2.156916,0.289829,651.5,0.144914,0.144914,1.308137,6.075472,3.037736,7.6434,28.301887,14.150943,13.671144,0.556468,0.384304,0.564056,0.893565,0.059227,1,0.797047,0.935331,0.527579,0.5,0.564056,0.948085,1,0.447045,0.726373,0.566171,0.411294,0.803189,0.427095,0.948054,1.418635,"sKizzo"
"Adder2-6-s-shuffled",2570,195,2765,3338,8160,3,3,6,1,1852,1485,2705,2426,2.011384,0.433194,856.666667,0.216597,0.216597,1.308137,7.415385,3.707692,6.54792,20.584615,10.292308,11.259922,0.55674,0.354657,0.56896,0.840854,0.088603,1,0.79617,0.885224,0.503657,0.5,0.56896,0.904654,1,0.444877,0.726783,0.566513,0.414678,0.681373,0.426414,0.956611,1.202748,"sKizzo"
"BLOCKS3i.5.3-shuffled",282,4,286,2892,9165,2,1,3,3,1578,1311,1989,1273,3.0861,0.082988,141,0.049447,0.033541,12.594406,60,35.75,30.98951,120,71.5,969.021277,0.606983,0.377414,0.612437,0.982563,0.010584,1.474227,0.647492,0.987626,0.604859,0.595833,0.612437,0.9965,1.474227,0.45332,0.44018,0.622449,0.37055,0.590884,0.372994,0.981458,0.949288,"sKizzo"
"BLOCKS3ii.5.2-shuffled",278,4,282,2707,7451,2,1,3,3,1651,1053,2044,1339,2.663835,0.088659,139,0.052826,0.035833,9.592199,60,35.75,24.695035,120,71.5,744.593525,0.636961,0.343846,0.644709,0.979562,0.013018,1.474227,0.569954,0.981715,0.632921,0.595833,0.644709,0.993656,1.474227,0.388992,0.494644,0.661958,0.328823,0.6639,0.331892,0.972729,1.002933,"sKizzo"
"BLOCKS3iii.5-shuffled",252,4,256,1835,4310,2,1,3,2,1575,258,1679,759,2.217984,0.13079,126,0.077929,0.052861,4.996094,60,35.75,13.867188,120,71.5,211.5,0.703248,0.263573,0.720885,0.967997,0.022506,1.474227,0.421973,0.959305,0.691548,0.595833,0.720885,0.983362,1.474227,0.140599,0.413624,0.713756,0.267361,1.001129,0.27378,0.934031,1.402621,"sKizzo"
"BLOCKS4ii.7.2-shuffled",908,7,915,15047,40542,2,1,3,4,10638,4405,12262,5329,2.495248,0.199109,454,0.117033,0.082076,13.602186,428,251.571429,34.265574,856,503.142857,2159.692731,0.69301,0.263554,0.715416,0.956044,0.030462,1.425911,0.442981,0.933241,0.667655,0.587784,0.715416,0.963414,1.425911,0.292749,0.354157,0.720795,0.249751,2.87517,0.261811,0.894509,3.988884,"sKizzo"
"BLOCKS4iii.7-shuffled",848,7,855,11303,27055,2,1,3,3,10260,1040,10635,2839,2.12855,0.265062,424,0.155799,0.109263,7.433918,428,251.571429,19.568421,856,503.142857,477.778302,0.765071,0.169839,0.809011,0.940335,0.045648,1.425911,0.307068,0.896603,0.725362,0.587784,0.809011,0.948097,1.425911,0.092011,0.251172,0.782762,0.172923,3.917224,0.185977,0.79601,5.00436,"sKizzo"
"C432.blif_0.10_0.20_0_0_out_exact-shuffled",556,12,568,1439,3295,2,1,3,0,1117,322,1057,919,2.257818,0.031967,278,0.015983,0.015983,2.630282,3.833333,1.916667,7.325704,7.666667,3.833333,31.066547,0.546586,0.446434,0.547245,0.987229,0.00698,1,0.829539,1.007321,0.551252,0.5,0.547245,1.008536,1,0.223767,0.638638,0.549821,0.45481,0.235566,0.449678,1.010289,0.42844,"quantor"
