"id","EXIST_VARS","FORALL_VARS","TOTAL_VARS","CLAUSES","LITERALS","EXIST_SET","FORALL_SET","TOTAL_SET","UNARY_CLAUSES","BINARY_CLAUSES","TERNARY_MORE_CLAUSES","POS_HORN","NEG_HORN","EXIST_LIT_PER_CLAUSE","FORALL_LIT_PER_CLAUSE","EXIST_VARS_PER_SET","FORALL_POS_LITS_PER_CLAUSE","FORALL_NEG_LITS_PER_CLAUSE","OCCS_POS_NO_PER_VAR","OCCS_FORALL_NO_PER_VAR","OCCS_FORALL_POS_NO_PER_VAR","W_OCCS_POS_NO_PER_VAR","W_OCCS_FORALL_NO_PER_VAR","W_OCCS_FORALL_POS_NO_PER_VAR","W_PRODUCTS","LITN_LIT","LITEP_LIT","LITEN_LITE","LITEN_LITN","LITFN_LIT","LITFP_LITFN","OCCP_OCCN","OCCE_OCC","OCCEN_OCC","OCCFP_OCCF","OCCEN_OCCE","OCCEN_OCCN","OCCFP_OCCFN","TERMORE_CLAUSE","NEG_HORN_CLAUSE","WOCCN_WOCC","WOCCEP_WOCC","WOCCFN_WOCC","WOCCEP_WOCCE","WOCCEP_WOCCP","WOCCFN_WOCCN","aqua.s2v","caqe.minisat","caqe.picosat","depqbf.v2","ghostq.cegar","hiqqer3","iprover.QBF","iprover.QBF.bloqqer","squeezebf.struqs","struqs.10","aqua.s2v_success","caqe.minisat_success","caqe.picosat_success","depqbf.v2_success","ghostq.cegar_success","hiqqer3_success","iprover.QBF_success","iprover.QBF.bloqqer_success","squeezebf.struqs_success","struqs.10_success","base","Class"
"AR-fixpoint-5",342635,30012,372647,1192801,3173226,1,1,2,9,530101,662691,757666,862697,2.211687,0.448628,342635,0.224314,0.224314,4.120052,17.830335,8.915167,7.5221,17.830335,8.915167,1350.229936,0.516163,0.399519,0.519441,0.836643,0.084319,1,0.937374,0.904183,0.46967,0.5,0.519441,0.909926,1,0.555575,0.723253,0.517651,0.474524,0.571678,0.480559,0.983778,1.10437,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",18.152,"xb.bid.qsts"
"Adder2-10-s",7424,545,7969,9664,23622,3,3,6,1,5368,4295,7829,7024,2.008692,0.435637,2474.666667,0.217819,0.217819,1.313716,7.724771,3.862385,6.560296,21.155963,10.577982,11.308998,0.556811,0.354077,0.569132,0.83996,0.089112,1,0.79594,0.882103,0.502034,0.5,0.569132,0.901622,1,0.444433,0.726821,0.566732,0.413789,0.698612,0.426218,0.955042,1.232703,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.568,"xb.bid.qsts"
"Adder2-16-s",19415,1400,20815,25303,61845,3,3,6,1,14062,11240,20495,18391,2.007232,0.436944,6471.666667,0.218472,0.218472,1.316695,7.897143,3.948571,6.566899,21.474286,10.737143,11.334947,0.556844,0.353772,0.569218,0.83948,0.089385,1,0.795836,0.880449,0.501167,0.5,0.569218,0.900014,1,0.444216,0.726831,0.566842,0.413323,0.708231,0.42612,0.954208,1.249433,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1.184,"xb.bid.qsts"
"Adder2-2-c",232,17,249,291,713,4,3,7,1,158,132,235,211,2.140893,0.309278,58,0.154639,0.154639,1.273092,5.294118,2.647059,7.534137,25.176471,12.588235,12.892241,0.5554,0.381487,0.563403,0.886364,0.063114,1,0.800505,0.937799,0.528359,0.5,0.563403,0.951313,1,0.453608,0.725086,0.564228,0.414352,0.7281,0.428682,0.950845,1.290437,0,0.04,0.04,0.21,0.3,0.04,0.57,1800,0.01,0.01,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE",0.332,"aqua.f3v"
"Adder2-8-c",4747,284,5031,6084,14882,4,3,7,1,3368,2715,4921,4420,2.15812,0.287968,1186.75,0.143984,0.143984,1.311668,6.169014,3.084507,7.654343,28.676056,14.338028,13.748683,0.556578,0.384559,0.564128,0.894241,0.058863,1,0.796692,0.935058,0.527492,0.5,0.564128,0.947741,1,0.446252,0.726496,0.566369,0.410978,0.812272,0.42693,0.94776,1.434173,1800,1800,1800,1800,1800,1800,138.93,1800,1800,1800,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",0.52,"rareqs"
"Adder2-8-s",4683,348,5031,6091,14889,3,3,6,1,3382,2708,4935,4427,2.009686,0.43474,1561,0.21737,0.21737,1.311668,7.609195,3.804598,6.555754,20.942529,10.471264,11.291053,0.556787,0.354288,0.569071,0.84029,0.088925,1,0.796019,0.883246,0.50263,0.5,0.569071,0.902733,1,0.44459,0.72681,0.566654,0.414113,0.692168,0.426288,0.955617,1.221502,1800,1800,135.12,1800,1800,473.82,1800,1800,1800,1800,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",0.48,"xb.bid.qsts"
"BLOCKS3i.5.3",282,4,286,2892,9165,2,1,3,3,1578,1311,1989,1273,3.0861,0.082988,141,0.049447,0.033541,12.594406,60,35.75,30.98951,120,71.5,969.021277,0.606983,0.377414,0.612437,0.982563,0.010584,1.474227,0.647492,0.987626,0.604859,0.595833,0.612437,0.9965,1.474227,0.45332,0.44018,0.622449,0.37055,0.590884,0.372994,0.981458,0.949288,0.37,87.07,9.67,3.71,1.62,0.8,3.91,12.97,1800,1800,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",0.364,"AIGSolve"
"BLOCKS3i.5.4",324,4,328,3852,14423,2,1,3,3,1635,2214,2244,1852,3.681983,0.062305,162,0.037124,0.025182,21.195122,60,35.75,48.759146,120,71.5,1985.25,0.517992,0.472093,0.519918,0.987016,0.006725,1.474227,0.930531,0.9955,0.517579,0.595833,0.519918,0.999202,1.474227,0.574766,0.480789,0.543018,0.454351,0.454553,0.455051,0.994242,0.837087,0.11,55.34,0.7,0.61,2.74,0.56,4.78,7.88,1800,1800,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",0.388,"rareqs"
"BLOCKS3ii.4.3",243,4,247,2533,8057,2,1,3,3,1272,1258,1677,1346,3.086064,0.094749,121.5,0.056455,0.038295,14.647773,60,35.75,34.619433,120,71.5,1201.555556,0.550949,0.431302,0.555456,0.978148,0.012039,1.474227,0.815048,0.986183,0.547781,0.595833,0.555456,0.994249,1.474227,0.496644,0.531386,0.59724,0.395697,0.564246,0.398294,0.982464,0.944756,0.03,0.15,0.14,0.11,0.81,0.06,0.27,1800,1800,1800,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE",0.388,"AIGSolve"
"BLOCKS3ii.5.2",278,4,282,2707,7451,2,1,3,3,1651,1053,2044,1339,2.663835,0.088659,139,0.052826,0.035833,9.592199,60,35.75,24.695035,120,71.5,744.593525,0.636961,0.343846,0.644709,0.979562,0.013018,1.474227,0.569954,0.981715,0.632921,0.595833,0.644709,0.993656,1.474227,0.388992,0.494644,0.661958,0.328823,0.6639,0.331892,0.972729,1.002933,0.04,0.5,0.51,0.31,0.78,0.15,1.76,1800,1800,1800,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE",0.432,"AIGSolve"
