"id","nvarsOrig","nclausesOrig","nvars","nclauses","reducedVars","reducedClauses","vars.clauses.ratio","POSNEG.RATIO.CLAUSE.mean","POSNEG.RATIO.CLAUSE.coeff.variation","POSNEG.RATIO.CLAUSE.min","POSNEG.RATIO.CLAUSE.max","POSNEG.RATIO.CLAUSE.entropy","VCG.CLAUSE.mean","VCG.CLAUSE.coeff.variation","VCG.CLAUSE.min","VCG.CLAUSE.max","VCG.CLAUSE.entropy","UNARY","BINARYp","TRINARYp","VCG.VAR.mean","VCG.VAR.coeff.variation","VCG.VAR.min","VCG.VAR.max","VCG.VAR.entropy","POSNEG.RATIO.VAR.mean","POSNEG.RATIO.VAR.stdev","POSNEG.RATIO.VAR.min","POSNEG.RATIO.VAR.max","POSNEG.RATIO.VAR.entropy","HORNY.VAR.mean","HORNY.VAR.coeff.variation","HORNY.VAR.min","HORNY.VAR.max","HORNY.VAR.entropy","horn.clauses.fraction","VG.mean","VG.coeff.variation","VG.min","VG.max","CG.mean","CG.coeff.variation","CG.min","CG.max","CG.entropy","cluster.coeff.mean","cluster.coeff.coeff.variation","cluster.coeff.min","cluster.coeff.max","cluster.coeff.entropy","tud_clauses","tud_vars","tud_clauses_size_1","tud_clauses_size_2","tud_clauses_size_3","tud_clauses_size_4","tud_clauses_size_5","tud_clauses_size_6","tud_clauses_size_7","tud_clauses_size_8","tud_clauses_size_.._9","tud_horn_clauses","tud_clause.variable_degree_min","tud_clause.variable_degree_max","tud_clause.variable_degree_mode","tud_clause.variable_degree_mean","tud_clause.variable_degree_stdev","tud_clause.variable_degree_entropy","tud_clause.variable_degree_valuesRate","tud_clause.variable_degree_Q1","tud_clause.variable_degree_Q2","tud_clause.variable_degree_Q3","tud_variable.clause_degree_zcount","tud_variable.clause_degree_min","tud_variable.clause_degree_max","tud_variable.clause_degree_mode","tud_variable.clause_degree_mean","tud_variable.clause_degree_stdev","tud_variable.clause_degree_entropy","tud_variable.clause_degree_valuesRate","tud_variable.clause_degree_Q1","tud_variable.clause_degree_Q2","tud_variable.clause_degree_Q3","tud_clause.variable_polarity_min","tud_clause.variable_polarity_mode","tud_clause.variable_polarity_mean","tud_clause.variable_polarity_stdev","tud_clause.variable_polarity_entropy","tud_clause.variable_polarity_valuesRate","tud_clause.variable_polarity_Q1","tud_clause.variable_polarity_Q2","tud_clause.variable_polarity_Q3","tud_variable.clause_polarity_min","tud_variable.clause_polarity_max","tud_variable.clause_polarity_mode","tud_variable.clause_polarity_mean","tud_variable.clause_polarity_stdev","tud_variable.clause_polarity_entropy","tud_variable.clause_polarity_valuesRate","tud_variable.clause_polarity_Q1","tud_variable.clause_polarity_Q2","tud_variable.clause_polarity_Q3","tud_Clause.Var_steps","tud_SymmTime0_min","tud_SymmTime0_max","tud_SymmTime0_mode","tud_SymmTime0_mean","tud_SymmTime0_stdev","tud_SymmTime0_entropy","tud_SymmTime0_valuesRate","tud_SymmTime0_Q1","tud_SymmTime0_Q2","tud_SymmTime0_Q3","tud_Symmetry0_steps","tud_SymmTime1_min","tud_SymmTime1_max","tud_SymmTime1_mode","tud_SymmTime1_mean","tud_SymmTime1_stdev","tud_SymmTime1_entropy","tud_SymmTime1_valuesRate","tud_SymmTime1_Q1","tud_SymmTime1_Q2","tud_SymmTime1_Q3","tud_Symmetry1_steps","tud_SymmTime2_min","tud_SymmTime2_max","tud_SymmTime2_mode","tud_SymmTime2_mean","tud_SymmTime2_stdev","tud_SymmTime2_entropy","tud_SymmTime2_valuesRate","tud_SymmTime2_Q1","tud_SymmTime2_Q2","tud_SymmTime2_Q3","tud_Symmetry2_steps","tud_Symmetry_computation_steps","base","tud_base","Class"
"SAT-Comp-2016-CNF/app16/10pipe_k.cnf.gz",67300,3601247,59700,3573575,0.127303,0.007744,0.016706,0.92954,0.262691,0,1,0.466758,4.9e-05,2.763611,3.4e-05,0.004238,0.285585,0,0.963308,0.967793,4.9e-05,5.998873,1e-06,0.008972,5.116071,0.553506,0.281953,0,1,4.23831,3.2e-05,5.779349,0,0.005692,4.866663,0.967679,7.3e-05,3.691632,1e-06,0.00746,-1,0,-1,0,-512,-1,0,-1,0,0,3600600,67300,12,3517820,27973,418,364,237,404,385,52987,3566971,1,253,2,2.967126,87.83234,0.194056,6.9e-05,2,2,2,0,1,41543,6,158.743432,1688370.129554,4.812906,0.01529,25,56,88,0.5,1,0.967776,0.014281,0.412836,0.000119,1,1,1,0.5,1,0.5,0.858931,0.032026,4.834183,0.024993,0.844156,0.957447,0.974359,11003736,1,4919,2,16.240347,12287.460925,1.678756,0.035232,1,2,2,10759029,1,40,2,2.60318,4.261567,1.016852,0.000696,2,2,4,10802447,1,12,2,2.253021,0.894532,0.894756,0.000167,2,2,2,10810483,32371959,95.576,2,"splatz"
"SAT-Comp-2016-CNF/app16/14pipe_q0_k.cnf.gz",222845,7702617,125001,7497601,0.782746,0.027344,0.016672,0.903883,0.301556,0,1,0.63008,2.6e-05,3.265882,1.6e-05,0.003624,0.4635,0,0.928145,0.938081,2.6e-05,4.071756,1e-06,0.003224,5.133668,0.518858,0.356059,0,0.989011,3.816591,1.5e-05,3.14271,0,0.001,4.967739,0.937875,4.3e-05,2.645348,1e-06,0.002987,-1,0,-1,0,-512,-1,0,-1,0,0,7700844,222845,16,7145681,461143,862,780,541,876,841,90104,7611667,1,453,2,2.972862,108.529821,0.353964,5.8e-05,2,2,2,0,1,20469,6,102.733043,317810.205699,3.443557,0.009563,6,6,73,0.5,1,0.950241,0.018759,0.571289,0.000117,1,1,1,0.5,1,0.5,0.690256,0.049616,3.26147,0.015912,0.5,0.5,0.966667,23771103,1,107167,2,30.560203,1588514.108705,1.576443,0.024959,1,2,2,23130982,1,1009,2,2.620688,103.241882,1.355078,0.000623,1,2,4,23286464,1,84,1,1.743196,9.620063,0.929268,0.000172,1,1,2,23372072,69789518,116.94,4.668,"splatz"
"SAT-Comp-2016-CNF/app16/16pipe_16_ooo.cnf.gz",266498,19470237,239534,19405933,0.112569,0.003314,0.012343,0.830766,0.4271,0,1,0.724358,1.2e-05,3.871427,8e-06,0.002734,0.377064,0,0.928175,0.981337,1.2e-05,6.045312,0,0.008357,5.410892,0.612851,0.297187,0,0.993921,4.193238,8e-06,5.069251,0,0.004142,5.300918,0.981168,2e-05,3.663982,0,0.005093,0,0,0,0,-512,0,0,0,0,0,19470052,266498,18,18155446,1097703,3557,3076,2756,3204,3195,201097,19261604,1,656,2,2.976014,215.217705,0.333483,2.6e-05,2,2,2,0,1,167907,6,217.424337,2499263.877608,5.148352,0.009685,16,51,111,0.5,1,0.915527,0.031578,0.710661,6.4e-05,1,1,1,0.5,1,0.5,0.854231,0.02846,5.215345,0.01609,0.8,0.931034,0.978723,59209686,1,22140,2,28.487226,91197.37024,1.644004,0.023303,1,2,2,58228367,1,64,2,2.68826,8.835685,1.038761,0.000383,2,2,4,58407925,1,18,2,2.289423,0.898064,0.879321,4.3e-05,2,2,2,58442465,175078757,244.348,11.348,"beans_and_eggs"
"SAT-Comp-2016-CNF/app16/1dlx_c_iq57_a.cnf.gz",569795,8562505,420833,8244707,0.353969,0.038546,0.051043,0.741717,0.551557,0,1,1.124966,8e-06,2.292425,5e-06,0.000442,0.748482,0,0.864547,0.909356,8e-06,5.060925,1e-06,0.003425,3.557141,0.30865,0.277954,0,0.967213,3.026572,4e-06,4.353903,0,0.001697,3.330322,0.912589,1.8e-05,3.701017,1e-06,0.004995,-1,0,-1,0,-512,-1,0,-1,0,0,8562384,569795,60,7567826,724361,9896,60873,16644,19428,6257,157039,8369704,1,186,2,2.90145,46.276744,0.547794,2.2e-05,2,2,2,0,1,28391,5,43.600465,70878.485849,3.199138,0.003557,5,7,23,0.5,1,0.867278,0.042783,1.018129,9.5e-05,0.666667,1,1,0.5,1,0.6,0.682802,0.028779,3.147471,0.006741,0.5,0.6,0.833333,27396573,1,124721,1,19.879806,818376.448237,1.590501,0.011862,1,1,2,25470454,1,123,1,1.616238,2.48518,0.818575,0.00017,1,1,2,26118218,1,112,1,1.040043,0.424523,0.137492,0.000104,1,1,1,26508844,78097516,400.876,6.196,"splatz"
"SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf.gz",106013,1598301,83095,1545697,0.275805,0.034033,0.053759,0.754046,0.542411,0,1,1.055596,3.7e-05,1.979033,2.4e-05,0.001504,0.636772,0,0.897002,0.931595,3.7e-05,5.15258,5e-06,0.020273,4.395879,0.340794,0.263479,0,0.991337,4.177608,2.3e-05,4.561975,1e-06,0.010566,4.106069,0.923113,6.8e-05,3.567933,3e-06,0.020984,-1,0,-1,0,-512,-1,0,-1,0,0,1598276,106013,7,1491581,24056,5002,9194,4867,6097,4541,52931,1531502,1,131,2,2.888948,32.98395,0.468115,7.6e-05,2,2,2,0,1,33984,10,43.554432,83565.325521,4.111813,0.008141,9,14,28,0.5,1,0.874633,0.043978,0.977989,0.000292,0.7,1,1,0.5,1,0.5,0.750023,0.028544,4.219179,0.011583,0.548387,0.8,0.894737,5112903,1,2298,1,10.885409,3608.175818,2.453772,0.021152,1,2,6,4742835,1,228,1,1.839545,7.503987,1.113599,0.000694,1,1,2,4838617,1,84,1,1.176106,0.702195,0.404015,0.000233,1,1,1,4903635,14485087,48.304,1.048,"splatz"
"SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf.gz",371419,7170909,303312,6994286,0.224544,0.025252,0.043366,0.777031,0.513573,0,1,0.959977,1e-05,2.320855,7e-06,0.00062,0.546258,0,0.918631,0.941691,1e-05,8.032932,1e-06,0.011179,4.510022,0.345959,0.26139,0,1,4.250072,6e-06,7.715296,0,0.006005,4.198718,0.936247,2e-05,5.299315,1e-06,0.015319,-1,0,-1,0,-512,-1,0,-1,0,0,7170876,371419,11,6770417,92318,8862,23554,11598,18609,13515,231992,6907094,1,205,2,2.910708,45.517314,0.410602,2.7e-05,2,2,2,0,1,85380,9,56.196167,389572.280135,4.228403,0.004806,10,16,29,0.5,1,0.886952,0.041235,0.907056,0.000114,0.969697,1,1,0.5,1,0.5,0.788032,0.026453,4.288875,0.00696,0.714286,0.846154,0.904762,22626921,1,5513,1,18.911354,20530.504642,2.497246,0.02169,1,2,6,21283031,1,340,1,1.799206,5.674501,1.096201,0.000252,1,1,2,21656621,1,196,1,1.145655,0.585388,0.36357,6.2e-05,1,1,1,21892147,64831799,277.864,4.892,"splatz"
"SAT-Comp-2016-CNF/app16/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf.gz",482093,9676386,394950,9444694,0.220643,0.024531,0.041817,0.77955,0.51086,0,1,0.941831,8e-06,2.397525,5e-06,0.000517,0.527265,0,0.922679,0.943799,8e-06,8.981841,1e-06,0.010108,4.516346,0.346625,0.258347,0,1,4.240077,5e-06,8.767803,0,0.005463,4.210399,0.938894,1.5e-05,5.841024,1e-06,0.015961,-1,0,-1,0,-512,-1,0,-1,0,0,9676351,482093,12,9152121,120936,10067,28986,14209,23548,16528,309944,9328252,1,226,2,2.913797,48.182843,0.401227,2.2e-05,2,2,2,0,1,104704,9,58.484413,543330.01757,4.235518,0.004242,10,17,29,0.5,1,0.888178,0.040956,0.896174,9.2e-05,1,1,1,0.5,1,0.5,0.79425,0.025947,4.27925,0.006078,0.714286,0.857143,0.909091,30475368,1,7860,1,22.397928,39456.285032,2.534645,0.022672,1,2,6,28720075,1,368,1,1.88757,6.305097,1.168465,0.000204,1,1,2,29187835,1,224,1,1.20208,0.675936,0.484424,5.5e-05,1,1,1,29479125,87387035,464.372,6.46,"splatz"
"SAT-Comp-2016-CNF/app16/ACG-20-10p0.cnf.gz",374228,1603007,243534,1168572,0.536656,0.371766,0.208403,0.330194,1.113685,0,1,1.352045,1.1e-05,0.43717,8e-06,4.1e-05,1.017226,0,0.609363,0.887213,1.1e-05,0.792664,6e-06,5.9e-05,2.377705,0.138829,0.158477,0,0.75,2.320706,7e-06,0.806478,3e-06,4e-05,2.134317,0.752756,1.1e-05,0.865235,4e-06,6.4e-05,-1,0,-1,0,-512,-1,0,-1,0,0,1343641,374228,56577,954058,281801,807,24656,12588,6980,0,6174,1343641,1,10,2,2.324082,0.888208,0.877728,6e-06,2,2,2,0,1,61,8,8.344464,62.151186,2.247032,0.000158,5,8,8,0.5,0.5,0.660142,0.040966,1.156853,6e-06,0.5,0.5,0.8,0.5,1,0.5,0.644162,0.02779,2.152936,0.000219,0.5,0.6,0.666667,5153643,1,101545,1,2462.026316,111989950.595329,4.329424,0.644737,20,214,727,3497272,1,56577,1,58.887175,634321.659129,2.66082,0.051928,1,2,7,3509678,1,56577,1,3.842374,33341.39598,0.971047,0.001776,1,1,1,3691758,10698708,125.964,1.332,"maplecomsps_lrb"
"SAT-Comp-2016-CNF/app16/ACG-20-5p1.cnf.gz",331196,1416850,219138,1044843,0.511358,0.356041,0.209733,0.327113,1.11349,0,1,1.339838,1.2e-05,0.423709,9e-06,4.6e-05,1.011326,0,0.603297,0.889046,1.2e-05,0.796549,7e-06,6.4e-05,2.302921,0.136546,0.157284,0,0.733333,2.292454,8e-06,0.805113,3e-06,4.4e-05,2.088221,0.748637,1.2e-05,0.87755,5e-06,7e-05,-1,0,-1,0,-512,-1,0,-1,0,0,1198067,331196,46844,848893,256971,653,21952,10996,6260,0,5498,1198067,1,10,2,2.330997,0.882292,0.873666,7e-06,2,2,3,0,1,60,8,8.43214,62.61176,2.240184,0.000175,5,8,8,0.5,0.5,0.658079,0.040333,1.155339,7e-06,0.5,0.5,0.8,0.5,1,0.5,0.638913,0.02677,2.139631,0.000242,0.5,0.6,0.666667,4587825,1,93858,20,2222.791946,92433906.5848,4.261381,0.630872,20,160,573,3124193,1,46844,1,54.347883,461576.652304,2.592257,0.050213,1,2,6,3136083,1,46844,1,3.589578,24182.922865,0.919987,0.001669,1,1,1,3308427,9568703,115.372,1.272,"maplecomsps_lrb"
"SAT-Comp-2016-CNF/app16/AProVE07-25.cnf.gz",8920,31884,3830,22056,1.328982,0.445593,0.173649,0.331204,0.878113,0,1,1.503529,0.000844,0.298779,0.000522,0.00235,1.335931,0,0.242972,0.640279,0.000844,1.534948,0.000317,0.013148,2.589796,0.127476,0.126955,0,0.666667,2.58411,0.000404,1.570469,4.5e-05,0.008705,2.352181,0.519677,0.000494,1.605141,0.000227,0.00875,0.004237,1.151965,0.000181,0.028428,4.983102,0.222044,0.664694,0.006005,0.558333,3.761342,31202,8920,230,14457,14464,1305,588,145,12,1,0,31202,1,8,3,2.617076,0.512189,0.984957,0.000256,2,3,3,0,1,192,10,9.154484,155.792703,2.36568,0.004709,5,8,10,0.5,0.5,0.649536,0.027941,1.241735,0.000224,0.5,0.666667,0.666667,0.5,1,0.5,0.567,0.007954,1.849381,0.001906,0.5,0.571429,0.6,120402,1,1203,1,72.520325,33114.792616,2.909458,0.349593,1,3,27,90832,1,230,1,5.10882,149.717664,1.845179,0.0252,1,2,4,94078,1,230,1,2.082652,25.228104,0.979418,0.003502,1,1,2,99152,284062,14.324,0.036,"beans_and_eggs"
