"id","nvarsOrig","nclausesOrig","nvars","nclauses","reducedVars","reducedClauses","vars_clauses_ratio","POSNEG_RATIO_CLAUSE_mean","POSNEG_RATIO_CLAUSE_coeff_variation","POSNEG_RATIO_CLAUSE_min","POSNEG_RATIO_CLAUSE_entropy","VCG_CLAUSE_mean","VCG_CLAUSE_coeff_variation","VCG_CLAUSE_min","VCG_CLAUSE_max","VCG_CLAUSE_entropy","BINARYp","TRINARYp","VCG_VAR_mean","VCG_VAR_coeff_variation","VCG_VAR_min","VCG_VAR_max","VCG_VAR_entropy","POSNEG_RATIO_VAR_mean","POSNEG_RATIO_VAR_stdev","POSNEG_RATIO_VAR_min","POSNEG_RATIO_VAR_max","POSNEG_RATIO_VAR_entropy","HORNY_VAR_mean","HORNY_VAR_coeff_variation","HORNY_VAR_min","HORNY_VAR_max","HORNY_VAR_entropy","horn_clauses_fraction","VG_mean","VG_coeff_variation","VG_min","VG_max","CG_mean","CG_coeff_variation","CG_min","CG_max","CG_entropy","cluster_coeff_mean","cluster_coeff_coeff_variation","cluster_coeff_min","cluster_coeff_max","cluster_coeff_entropy","QuteRSat_2011.05.12_fixed_","RestartSAT_B95","SAT07referencesolverminisat_SAT2007","SApperloT2010_2011.05.15_fixed_","glucose_2","jMiniSat_2011","sathys_2011.04.01","QuteRSat_2011.05.12_fixed__success","RestartSAT_B95_success","SAT07referencesolverminisat_SAT2007_success","SApperloT2010_2011.05.15_fixed__success","glucose_2_success","jMiniSat_2011_success","sathys_2011.04.01_success","Pre","Basic","KLB","CG","Class"
"./SAT02/handmade/chu-min-li/urquhart/urquhart3_25bis.shuffled.cnf",99,264,72,264,0.375,0,0.2727,0.3939,0.8418,0,1.289,0.053,0.101,0.0417,0.0556,0.4741,0,0.1818,0.053,0.1429,0.0455,0.0606,0.6931,0,0,0,0,0,0.0186,0.3979,0.0076,0.0303,1.5208,0.3636,0.0208,0.0909,0.0189,0.0227,0.0733,0.1356,0.0568,0.0871,1.3537,0.4456,0.0706,0.4,0.5333,1.4407,1.18082,112.479,42.6555,1398.45,11.3513,80.0338,421.809,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0,0,0,0,"MPhaseSAT_2011.02.15"
"./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3500_3500_30f1.shuffled.cnf",30,420,30,420,0,0,0.0714,0.3737,0.7276,0,1.4646,0.1562,0.1105,0.1,0.1667,0.6882,0,0.0262,0.1562,0.0238,0.1476,0.1643,1.6996,0.0235,0.0194,0,0.0625,1.4434,0.0346,0.2273,0.0214,0.0548,2.3035,0.231,0.069,0,0.069,0.069,0.3232,0.1006,0.2048,0.3714,3.4007,0.3168,0.0366,0.2793,0.357,1.6063,0.039993,0.004999,0.005999,0.006998,0.006998,0.336948,0.008998,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0,0,0,0.38,"PicoSAT_941"
"./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3900_3900_060.shuffled.cnf",60,936,60,936,0,0,0.0641,0.3719,0.7008,0,1.2762,0.0805,0.082,0.05,0.0833,0.4757,0,0.0075,0.0805,0.0189,0.0769,0.0833,1.7283,0.0174,0.0138,0,0.0556,1.3482,0.0167,0.2288,0.0075,0.0246,2.5943,0.2105,0.0629,0.0063,0.062,0.063,0.1824,0.0796,0.1132,0.2009,3.1411,0.1766,0.0468,0.1461,0.2011,1.289,10.1165,11.2093,2.51562,8.36173,3.32049,14.3028,68.6156,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0,0,0,1.39,"PicoSAT_941"
"./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3900_3900_220.shuffled.cnf",220,3432,220,3432,0,0,0.0641,0.3715,0.6637,0,0.9981,0.0225,0.0431,0.0136,0.0227,0.1898,0,6e-04,0.0225,0.01,0.0219,0.0227,1.0701,0.0066,0.0082,0,0.0263,0.8816,0.0043,0.2338,0.002,0.0073,2.6091,0.1911,0.0483,0.0283,0.0446,0.0519,0.0548,0.0443,0.0332,0.0568,2.3648,0.0597,0.0877,0.0456,0.0813,0.8966,5000,5000,4553.75,5000,5000,5000,0.732887,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE",0,0,0,6.43,"sattime._2011.03.02"
"./SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_110.shuffled.cnf",110,1892,110,1892,0,0,0.0581,0.3744,0.6786,0,1.1042,0.0447,0.0564,0.0273,0.0455,0.2835,0,0.0016,0.0447,0.0144,0.0428,0.0455,1.4771,0.008,0.0079,0,0.037,0.9627,0.0085,0.2023,0.0037,0.0127,2.5543,0.1908,0.0551,0.021,0.0486,0.0576,0.1062,0.0566,0.0634,0.1126,2.7915,0.1048,0.0625,0.0836,0.1265,1.0764,5000,3872.57,1759.28,46.9299,5000,4641.37,0.019996,"FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE",0,0,0,3.95,"newJointClass"
"./SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_170.shuffled.cnf",170,2924,170,2924,0,0,0.0581,0.3779,0.6696,0,1.043,0.0291,0.0467,0.0176,0.0294,0.2162,0,3e-04,0.0291,0.0121,0.0277,0.0294,1.2942,0.0079,0.0094,0,0.0488,1.0364,0.0056,0.1899,0.0021,0.0079,2.5089,0.1925,0.0502,0.0257,0.0455,0.0534,0.0702,0.048,0.041,0.0735,2.6021,0.0723,0.0756,0.0556,0.0932,0.9351,5000,5000,5000,5000,5000,5000,7.06592,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",0,0,0,6.53,"sattime_2011.03.02"
"./SAT02/handmade/pehoushek/twentyvars/7cnf20_90000_90000_7.shuffled.cnf",20,1532,20,1532,0,0,0.0131,0.3193,0.6873,0.1429,1.0258,0.35,0,0.35,0.35,0,0,0,0.35,0.0276,0.3349,0.3688,2.7616,0.0296,0.0232,0.0037,0.0811,1.9831,0.024,0.1189,0.0196,0.0294,2.432,0.0685,0.0124,0,0.0124,0.0124,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,0.071988,0.010997,0.022996,0.018996,0.009998,0.308952,0.016996,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0,0,0,60.03,"PicoSAT_941"
"./SAT02/handmade/simon/satex-challenges/c6288.shuffled.cnf",5008,14813,1978,8702,1.5319,0.7023,0.2273,0.4775,0.7424,0,1.2015,0.0015,0.571,0.001,0.0319,0.9063,0.2396,0.8762,0.0015,1.1141,9e-04,0.0159,1.2303,0.1032,0.1153,0,0.5556,1.2453,7e-04,1.0236,1e-04,0.008,1.9041,0.5419,0.0013,1.3821,6e-04,0.0138,0.0044,1.0505,9e-04,0.0163,2.9571,0.1235,0.7017,0.0144,0.5818,2.3953,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.07,0,0.01,1.05,"CryptoMiniSat_Strange.Night2.st_fixed_"
"./SAT02/handmade/simon/satex-challenges/f600.shuffled.cnf",600,2550,588,2537,0.0204,0.0051,0.2318,0.5006,0.5791,0,0.6649,0.0051,0.0527,0.0051,0.0085,0.1183,0,0.9752,0.0051,0.2626,0.002,0.0099,2.6235,0.2367,0.182,0,1,3.3924,0.0027,0.3677,0,0.0063,2.3268,0.5262,0.0102,0.26,0.0039,0.0197,0.0076,0.2305,0.0028,0.0142,2.9008,0.1084,0.2433,0.0556,0.2778,2.2775,5000,5000,4074.87,5000,5000,5000,21.9557,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE",0,0,0,0.05,"sattime_2011.03.02"
"./SAT02/handmade/simon/satex-challenges/par32-3.shuffled.cnf",3176,10297,866,5117,2.6674,1.0123,0.1692,0.4183,0.8047,0,1.3808,0.0041,0.1804,0.0023,0.0058,0.8658,0.0805,0.3543,0.0041,2.0353,0.0016,0.0594,1.6381,0.0261,0.084,0,0.4667,0.4872,0.0016,1.7952,4e-04,0.0209,2.0506,0.4086,0.0016,1.5064,0.001,0.018,0.0353,0.5632,0.001,0.0733,4.2844,0.1983,0.485,0.0689,0.619,3.2728,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0,0,9.13,"MPhaseSAT_2011.02.15"
