"id","nvarsOrig","nclausesOrig","nvars","nclauses","reducedVars","reducedClauses","vars_clauses_ratio","POSNEG_RATIO_CLAUSE_mean","POSNEG_RATIO_CLAUSE_coeff_variation","POSNEG_RATIO_CLAUSE_entropy","VCG_CLAUSE_mean","VCG_CLAUSE_coeff_variation","VCG_CLAUSE_min","VCG_CLAUSE_max","VCG_CLAUSE_entropy","BINARYp","TRINARYp","VCG_VAR_mean","VCG_VAR_coeff_variation","VCG_VAR_min","VCG_VAR_max","VCG_VAR_entropy","POSNEG_RATIO_VAR_mean","POSNEG_RATIO_VAR_stdev","POSNEG_RATIO_VAR_min","POSNEG_RATIO_VAR_max","POSNEG_RATIO_VAR_entropy","HORNY_VAR_mean","HORNY_VAR_coeff_variation","HORNY_VAR_min","HORNY_VAR_max","HORNY_VAR_entropy","horn_clauses_fraction","VG_mean","VG_coeff_variation","VG_min","VG_max","CG_mean","CG_coeff_variation","CG_min","CG_max","CG_entropy","cluster_coeff_mean","cluster_coeff_coeff_variation","cluster_coeff_min","cluster_coeff_max","cluster_coeff_entropy","EBGlucose_1.0","SAT09referencesolverglucose_1.0","SAT09referencesolverprecosat_236","minisathackMiniSAT_2.2.0.agile.26","minisathackcir_minisat_2011.05.13_simp_","minisathackcontrasat_2011.03.02","minisathackminisat_psm_2011.04.01","rcl_2011.04.01","EBGlucose_1.0_success","SAT09referencesolverglucose_1.0_success","SAT09referencesolverprecosat_236_success","minisathackMiniSAT_2.2.0.agile.26_success","minisathackcir_minisat_2011.05.13_simp__success","minisathackcontrasat_2011.03.02_success","minisathackminisat_psm_2011.04.01_success","rcl_2011.04.01_success","Pre","Basic","KLB","CG","Class"
"./SAT02/industrial/aloul/Bart/bart17.shuffled.cnf",231,1166,220,1155,0.05,0.0095,0.1905,0.4432,1.0462,1.3703,0.0175,1.0481,0.0091,0.1182,0.8259,0.7749,0.7749,0.0175,0.1178,0.0147,0.019,0.6474,0.1029,0.1403,0,0.2941,0.6474,0.0054,0.4211,0.0017,0.0095,2.0872,0.5844,0.0423,0.361,0.0182,0.0745,0.0334,1.0818,0.0182,0.2364,0.9977,0.1245,0.4562,0.0176,0.1818,1.9491,0.008998,0.007998,0.003999,0.004999,0.003999,0.004998,0.009997,0.017997,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0,0,0,0.17,"RestartSAT_B95"
"./SAT02/industrial/aloul/Homer/homer14.shuffled.cnf",300,2130,270,2100,0.1111,0.0143,0.1286,0.4431,1.0497,1.2279,0.0133,0.9353,0.0074,0.0667,0.5233,0.8086,0.8086,0.0133,0,0.0133,0.0133,0,0,0,0,0,0,0.0048,0.3148,0.0024,0.0095,2.1193,0.6348,0.0259,0.1702,0.0171,0.0371,0.0238,0.9289,0.0129,0.1157,0.7779,0.1157,0.3687,0.0201,0.1478,1.2322,407.916,872.072,1222.4,2477.29,888.118,401.176,598.163,863.632,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0,0,0,0.43,"QuteRSat_2011.05.12_fixed_"
"./SAT02/industrial/aloul/Homer/homer16.shuffled.cnf",264,1476,240,1452,0.1,0.0165,0.1653,0.4517,1.0441,1.2617,0.0152,1.002,0.0083,0.0833,0.4937,0.8258,0.8258,0.0152,0,0.0152,0.0152,0,0,0,0,0,0,0.0051,0.3742,0.0021,0.0076,2.0668,0.6143,0.032,0.1844,0.0213,0.0434,0.0273,0.994,0.0145,0.1446,0.7469,0.1471,0.3603,0.0241,0.1818,1.1671,4296.55,4987.71,5000,3949.8,3087.69,2911.72,5000,5000,"TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",0,0,0,0.2,"QuteRSat_2011.05.12_fixed_"
"./SAT02/industrial/aloul/Homer/homer17.shuffled.cnf",286,1742,260,1716,0.1,0.0152,0.1515,0.4359,1.0802,1.2462,0.014,1.0232,0.0077,0.0769,0.4981,0.8293,0.8293,0.014,0,0.014,0.014,0,0,0,0,0,0,0.0049,0.3535,0.0017,0.007,2.1507,0.6375,0.031,0.2204,0.0192,0.0472,0.0252,1.0149,0.0134,0.134,0.824,0.135,0.3756,0.0209,0.1733,1.4418,5000,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,0,0,0.29,"CryptoMiniSat_Strange.Night2.st_fixed_"
"./SAT02/industrial/biere/dinphil/dp04s04.shuffled.cnf",1075,3152,231,1106,3.6537,1.8499,0.2089,0.4597,0.8211,1.5324,0.0134,0.4393,0.0087,0.0606,1.3249,0.3327,0.7667,0.0134,0.4636,0.0063,0.038,2.9065,0.1331,0.1177,0,0.5,2.8772,0.0064,0.4991,9e-04,0.0163,2.4488,0.5443,0.0127,0.3773,0.0045,0.0307,0.0211,0.4651,0.0054,0.0787,3.6059,0.1935,0.3117,0.0493,0.3939,3.1681,0.017996,0.015997,0.050991,0.008998,0.009997,0.007998,0.018996,0.019996,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.01,0,0,0.03,"RestartSAT_B95"
"./SAT02/industrial/biere/dinphil/dp04u03.shuffled.cnf",825,2411,164,787,4.0305,2.0635,0.2084,0.4764,0.7887,1.5565,0.019,0.417,0.0122,0.0732,1.3311,0.3215,0.7802,0.019,0.4553,0.0089,0.0457,2.9288,0.1566,0.1196,0,0.6364,3.0229,0.0082,0.5286,0.0013,0.0178,2.2939,0.5197,0.0176,0.3598,0.0064,0.0394,0.0296,0.4266,0.0076,0.0826,3.5827,0.2022,0.3136,0.064,0.4615,3.2124,0.012997,0.011997,0.020996,0.006998,0.006998,0.005998,0.012997,0.011997,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.01,0,0,0.02,"newJointClass"
"./SAT02/industrial/biere/dinphil/dp10s10.shuffled.cnf",7759,23004,1840,8942,3.2168,1.5726,0.2058,0.4841,0.7865,1.4736,0.0016,0.4719,0.0011,0.0179,1.26,0.3337,0.8019,0.0016,0.5255,8e-04,0.0058,2.9554,0.1343,0.1031,0,0.5385,2.931,8e-04,0.5758,1e-04,0.0038,2.4762,0.5337,0.0017,0.5183,6e-04,0.0086,0.0027,0.5248,7e-04,0.023,3.68,0.184,0.316,0.0104,0.4583,3.1487,0.330949,0.631903,0.215966,0.091985,0.071989,0.094985,0.110982,0.168973,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.11,0,0.02,0.3,"newJointClass"
"./SAT02/industrial/dellacherie/comb/comb1.shuffled.cnf",5910,16804,1686,8377,2.5053,1.006,0.2013,0.4833,0.7882,1.4047,0.0018,0.3644,0.0012,0.0166,1.1596,0.3049,0.7774,0.0018,0.4809,8e-04,0.0109,2.8824,0.0909,0.0928,0,0.8065,2.544,9e-04,0.533,2e-04,0.0048,2.2852,0.5288,0.0013,0.684,6e-04,0.0092,0.0026,0.6926,7e-04,0.0329,3.6495,0.1802,0.5331,0.027,0.5909,3.5334,1789.44,5000,5000,5000,474.861,4645.48,4061.33,4314.29,"TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE",0.08,0,0.01,0.27,"CryptoMiniSat_Strange.Night2.st_fixed_"
"./SAT02/industrial/goldberg/fpga_routing/vda_gr_rcs_w9.shuffled.cnf",6498,130997,5735,130226,0.133,0.0059,0.044,0.4493,1.0295,1.3272,6e-04,0.8762,3e-04,0.0028,0.5612,0.7903,0.7903,6e-04,0.7872,0,0.0029,4.4833,0.0064,0.0716,0,1,0.1101,2e-04,0.8918,0,0.0014,4.2518,0.593,0.0011,0.7554,1e-04,0.0052,0.00045,0.71295,1e-04,0.00465,3.6888,0.1725,0.47125,0.01815,0.5934,3.10355,0.446931,0.471927,0.671897,0.352945,0.396939,0.380941,0.401937,0.483925,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.65,0.02,0.18,60.03,"CryptoMiniSat_Strange.Night2.st_fixed_"
"./SAT02/industrial/goldberg/rand_net/rand_net60-25-10.shuffled.cnf",3000,8881,1766,6639,0.6988,0.3377,0.266,0.4762,0.8668,1.4349,0.0016,0.822,0.0011,0.0357,1.1908,0.4984,0.8412,0.0016,0.3301,0.0011,0.0048,2.3792,0.1515,0.1238,0,0.6667,2.5807,8e-04,0.3725,2e-04,0.0027,1.9923,0.582,0.0021,0.7973,8e-04,0.0099,0.0021,0.7443,6e-04,0.0354,3.0982,0.1834,0.396,0.0353,0.5934,3.1054,0.611906,16.4195,0.893863,5.59115,3.02654,10.1135,9.78651,12.5361,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.03,0,0.01,0.11,"QuteRSat_2011.05.12_fixed_"
