"id","nvarsOrig","nclausesOrig","nvars","nclauses","reducedVars","reducedClauses","vars_clauses_ratio","POSNEG_RATIO_CLAUSE_mean","POSNEG_RATIO_CLAUSE_coeff_variation","POSNEG_RATIO_CLAUSE_min","POSNEG_RATIO_CLAUSE_entropy","VCG_CLAUSE_mean","VCG_CLAUSE_coeff_variation","VCG_CLAUSE_min","VCG_CLAUSE_max","VCG_CLAUSE_entropy","TRINARYp","VCG_VAR_mean","VCG_VAR_coeff_variation","VCG_VAR_min","VCG_VAR_max","VCG_VAR_entropy","POSNEG_RATIO_VAR_mean","POSNEG_RATIO_VAR_stdev","POSNEG_RATIO_VAR_min","POSNEG_RATIO_VAR_max","POSNEG_RATIO_VAR_entropy","HORNY_VAR_mean","HORNY_VAR_coeff_variation","HORNY_VAR_min","HORNY_VAR_max","HORNY_VAR_entropy","horn_clauses_fraction","VG_mean","VG_coeff_variation","VG_min","VG_max","CG_mean","CG_coeff_variation","CG_min","CG_max","CG_entropy","cluster_coeff_mean","cluster_coeff_coeff_variation","cluster_coeff_min","cluster_coeff_max","cluster_coeff_entropy","MPhaseSAT_M_2011.02.16","MPhaseSAT_M_2011.02.16_success","Pre","Basic","KLB","CG","Class"
"SAT11/random/large/unif-k3-r4.2-v10000-c42000-S1091905403-047-UNKNOWN.cnf",10000,42000,9756,41730,0.025,0.0065,0.2338,0.4976,0.5875,0,0.704,3e-04,0.0605,3e-04,5e-04,0.1472,0.9674,3e-04,0.2881,1e-04,9e-04,2.7068,0.2281,0.173,0,1,3.3694,2e-04,0.4043,0,5e-04,2.3351,0.4901,6e-04,0.2908,1e-04,0.0019,5e-04,0.2428,1e-04,0.0011,2.9609,0.1026,0.245,0.0426,0.3333,2.2515,5000,"FALSE",0.14,0,0.28,0.85,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v10000-c42000-S1256256213-053-UNKNOWN.cnf",10000,42000,9734,41695,0.0273,0.0073,0.2335,0.4959,0.5872,0,0.7201,3e-04,0.066,3e-04,6e-04,0.1643,0.9631,3e-04,0.292,0,8e-04,2.7162,0.2289,0.1729,0,1,3.3705,2e-04,0.3984,0,6e-04,2.3294,0.4938,6e-04,0.2961,0,0.0017,5e-04,0.247,1e-04,0.0011,2.9764,0.1022,0.2462,0.0417,0.4,2.2591,84.8401,"TRUE",0.14,0,0.28,0.86,"SAT09referencesolverTNM_2009.03.22"
"SAT11/random/large/unif-k3-r4.2-v10000-c42000-S1778317451-042-UNKNOWN.cnf",10000,42000,9745,41713,0.0262,0.0069,0.2336,0.493,0.5874,0,0.7131,3e-04,0.0649,3e-04,5e-04,0.1638,0.9628,3e-04,0.2947,0,8e-04,2.7286,0.2259,0.1706,0,1,3.362,2e-04,0.4072,0,5e-04,2.3546,0.4973,6e-04,0.2979,0,0.0017,5e-04,0.2473,1e-04,0.0012,2.9788,0.102,0.245,0.04,0.2857,2.2552,148.562,"TRUE",0.13,0.01,0.28,0.85,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v10000-c42000-S338979727-056-UNKNOWN.cnf",10000,42000,9740,41711,0.0267,0.0069,0.2335,0.4941,0.5887,0,0.7165,3e-04,0.0652,3e-04,6e-04,0.1634,0.9632,3e-04,0.2938,0,8e-04,2.7259,0.2259,0.1686,0,1,3.3434,2e-04,0.4017,0,5e-04,2.3261,0.4894,6e-04,0.2974,1e-04,0.0017,5e-04,0.2453,1e-04,0.0012,2.9712,0.1018,0.2431,0.0377,0.4,2.2486,286.772,"TRUE",0.13,0.01,0.28,0.85,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v10000-c42000-S360796849-068-UNKNOWN.cnf",10000,42000,9742,41691,0.0265,0.0074,0.2337,0.4912,0.5894,0,0.719,3e-04,0.0668,3e-04,5e-04,0.1665,0.9627,3e-04,0.2884,0,9e-04,2.7088,0.2283,0.1705,0,1,3.3756,2e-04,0.3936,0,5e-04,2.3167,0.4912,6e-04,0.2914,0,0.0018,5e-04,0.2444,1e-04,0.0013,2.9664,0.1022,0.2447,0.037,0.3333,2.2487,5000,"FALSE",0.14,0.01,0.27,0.87,"sparrow2011_sparrow2011_ubcsat1.2_2011.03.02"
"SAT11/random/large/unif-k3-r4.2-v10000-c42000-S677627694-051-UNKNOWN.cnf",10000,42000,9738,41704,0.0269,0.0071,0.2335,0.4959,0.5878,0,0.7173,3e-04,0.0651,3e-04,5e-04,0.1632,0.9631,3e-04,0.2909,0,8e-04,2.7183,0.2289,0.1728,0,1,3.3756,2e-04,0.4008,0,5e-04,2.3276,0.4904,6e-04,0.2945,0,0.0018,5e-04,0.2465,1e-04,0.0012,2.9745,0.1023,0.2465,0.0417,0.4,2.258,5000,"FALSE",0.14,0.01,0.27,0.84,"sparrow2011_sparrow2011_ubcsat1.2_2011.03.02"
"SAT11/random/large/unif-k3-r4.2-v10000-c42000-S709804505-031-UNKNOWN.cnf",10000,42000,9748,41704,0.0259,0.0071,0.2337,0.4957,0.5879,0,0.7108,3e-04,0.0614,3e-04,5e-04,0.1527,0.9655,3e-04,0.2867,0,7e-04,2.7067,0.2262,0.1703,0,1,3.3633,2e-04,0.3971,0,5e-04,2.3267,0.4942,6e-04,0.2901,1e-04,0.0015,5e-04,0.2403,1e-04,0.0011,2.9523,0.1023,0.242,0.0435,0.3333,2.2376,1545.64,"TRUE",0.14,0.01,0.28,0.86,"sparrow2011_sparrow2011_ubcsat1.2_2011.03.02"
"SAT11/random/large/unif-k3-r4.2-v10000-c42000-S903594090-011-UNKNOWN.cnf",10000,42000,9726,41691,0.0282,0.0074,0.2333,0.4959,0.5884,0,0.7267,3e-04,0.0671,3e-04,5e-04,0.1722,0.9604,3e-04,0.2918,0,8e-04,2.7211,0.2269,0.1695,0,1,3.3588,2e-04,0.4,0,5e-04,2.3325,0.494,6e-04,0.2956,1e-04,0.0017,5e-04,0.2467,1e-04,0.0013,2.9742,0.102,0.2438,0.0377,0.2857,2.2549,29.4015,"TRUE",0.13,0.01,0.27,0.87,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v10000-c42000-S963265686-085-UNKNOWN.cnf",10000,42000,9719,41669,0.0289,0.0079,0.2332,0.4944,0.5896,0,0.7279,3e-04,0.0697,3e-04,6e-04,0.1747,0.9608,3e-04,0.2934,0,0.001,2.7232,0.2296,0.173,0,1,3.3761,2e-04,0.3984,0,5e-04,2.3352,0.497,6e-04,0.2975,1e-04,0.0021,5e-04,0.2489,1e-04,0.0013,2.9844,0.1019,0.2468,0.0377,0.3333,2.2596,5000,"FALSE",0.13,0.01,0.28,0.9,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v10000-c42000-S977705304-066-UNKNOWN.cnf",10000,42000,9749,41695,0.0257,0.0073,0.2338,0.4922,0.5874,0,0.7091,3e-04,0.0658,3e-04,6e-04,0.1607,0.9645,3e-04,0.2933,1e-04,9e-04,2.7217,0.2273,0.1686,0,1,3.3587,2e-04,0.3987,0,5e-04,2.3367,0.4968,6e-04,0.2969,1e-04,0.0019,5e-04,0.2475,1e-04,0.0014,2.9756,0.1021,0.2456,0.0328,0.2857,2.2568,5000,"FALSE",0.12,0.01,0.28,0.88,"sparrow2011_sparrow2011_ubcsat1.2_2011.03.02"
"SAT11/random/large/unif-k3-r4.2-v15000-c63000-S1201608256-021-UNKNOWN.cnf",15000,63000,14596,62572,0.0277,0.0068,0.2333,0.4974,0.5886,0,0.7323,2e-04,0.0681,2e-04,4e-04,0.1733,0.9604,2e-04,0.2915,0,7e-04,2.7234,0.2287,0.1715,0,1,3.3739,1e-04,0.3968,0,4e-04,2.3263,0.4914,4e-04,0.295,1e-04,0.0015,3e-04,0.2452,1e-04,9e-04,2.9718,0.1019,0.2455,0.0345,0.4286,2.251,5000,"FALSE",0.23,0.01,0.6,1.35,"sparrow2011_sparrow2011_ubcsat1.2_2011.03.02"
"SAT11/random/large/unif-k3-r4.2-v15000-c63000-S1386494586-003-UNKNOWN.cnf",15000,63000,14604,62563,0.0271,0.007,0.2334,0.4934,0.5872,0,0.7117,2e-04,0.0654,2e-04,3e-04,0.162,0.9638,2e-04,0.2901,0,6e-04,2.7181,0.2271,0.1713,0,1,3.3728,1e-04,0.396,0,3e-04,2.3252,0.4934,4e-04,0.2937,1e-04,0.0012,3e-04,0.2446,1e-04,8e-04,2.9702,0.1019,0.2444,0.037,0.3333,2.2498,771.714,"TRUE",0.22,0.01,0.61,1.34,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v15000-c63000-S1868678442-026-UNKNOWN.cnf",15000,63000,14620,62573,0.026,0.0068,0.2336,0.4952,0.5876,0,0.7136,2e-04,0.0651,2e-04,4e-04,0.1595,0.9647,2e-04,0.2891,0,7e-04,2.7083,0.226,0.1695,0,1,3.3607,1e-04,0.3964,0,3e-04,2.3258,0.495,4e-04,0.2925,0,0.0015,3e-04,0.2449,1e-04,9e-04,2.9679,0.1021,0.2445,0.0357,0.2857,2.2499,5000,"FALSE",0.23,0.01,0.61,1.33,"sparrow2011_sparrow2011_ubcsat1.2_2011.03.02"
