"id","nvarsOrig","nclausesOrig","nvars","nclauses","reducedVars","reducedClauses","vars_clauses_ratio","POSNEG_RATIO_CLAUSE_mean","POSNEG_RATIO_CLAUSE_coeff_variation","POSNEG_RATIO_CLAUSE_min","POSNEG_RATIO_CLAUSE_entropy","VCG_CLAUSE_mean","VCG_CLAUSE_coeff_variation","VCG_CLAUSE_min","VCG_CLAUSE_max","VCG_CLAUSE_entropy","BINARYp","TRINARYp","VCG_VAR_mean","VCG_VAR_coeff_variation","VCG_VAR_min","VCG_VAR_max","VCG_VAR_entropy","POSNEG_RATIO_VAR_mean","POSNEG_RATIO_VAR_stdev","POSNEG_RATIO_VAR_min","POSNEG_RATIO_VAR_max","POSNEG_RATIO_VAR_entropy","HORNY_VAR_mean","HORNY_VAR_coeff_variation","HORNY_VAR_min","HORNY_VAR_max","HORNY_VAR_entropy","horn_clauses_fraction","VG_mean","VG_coeff_variation","VG_min","VG_max","CG_mean","CG_coeff_variation","CG_min","CG_max","CG_entropy","cluster_coeff_mean","cluster_coeff_coeff_variation","cluster_coeff_min","cluster_coeff_max","cluster_coeff_entropy","sapperlot","spear.hw","spear.sw","sapperlot_success","spear.hw_success","spear.sw_success","Pre","Basic","KLB","CG","Class"
"SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf",31248,93904,13336,55442,1.3431,0.6937,0.2405,0.188,1.5565,0,1.1292,2e-04,1.0765,1e-04,0.0025,0.9808,0.6633,0.9396,2e-04,0.8045,1e-04,0.0021,2.4667,0.1827,0.1522,0,0.7778,2.3661,2e-04,0.9456,1e-04,0.0016,1.8747,0.8961,4e-04,0.7561,1e-04,0.0022,5e-04,0.9091,1e-04,0.0038,3.8011,0.1715,0.4685,0.0186,0.5333,3.2245,105.81,189,186.99,"TRUE","TRUE","TRUE",0.79,0.01,0.45,2.41,"qutersat"
"SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf",69097,225000,28340,162000,1.4381,0.3875,0.1745,0.4093,0.454,0,1.0578,1e-04,0.1777,1e-04,4e-04,0.8813,0.0616,0.5552,1e-04,0.586,0,7e-04,2.3479,0.0249,0.0423,0,0.6667,1.0519,1e-04,0.5355,0,4e-04,2.0352,0.5123,0,0.4568,0,3e-04,2e-04,0.4586,0,8e-04,3.7524,0.3006,0.1758,0.0559,0.6381,2.9496,90.93,194.95,346.27,"TRUE","TRUE","TRUE",1.03,0.02,2.03,9.48,"qutersat"
"SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf",69487,227000,28519,163000,1.4365,0.3877,0.1747,0.4091,0.4545,0,1.0579,1e-04,0.1782,1e-04,4e-04,0.8813,0.0617,0.5562,1e-04,0.585,0,3e-04,2.3502,0.0251,0.0425,0,0.6667,1.0554,1e-04,0.534,0,2e-04,2.0379,0.5127,0,0.4547,0,2e-04,2e-04,0.4578,0,8e-04,3.7495,0.3005,0.1747,0.0993,0.6381,2.9456,544.35,1200,1200,"TRUE","FALSE","FALSE",0.98,0.02,1.99,9.26,"cryptominisat2011"
"SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf",65604,274000,26157,154000,1.5081,0.7771,0.1699,0.4053,0.413,0,1.0062,1e-04,0.1825,1e-04,2e-04,0.9027,0.0723,0.5428,1e-04,0.6042,0,5e-04,2.37,0.0207,0.0385,0,0.3333,0.9795,1e-04,0.5864,0,2e-04,2.0686,0.5294,0,0.4859,0,2e-04,2e-04,0.4268,0,5e-04,3.7169,0.2768,0.2239,0.1053,0.4822,3.0906,216.46,224.01,292.68,"TRUE","TRUE","TRUE",0.94,0.02,1.7,7.72,"mphaseSAT"
"SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf",66892,279000,26689,157000,1.5064,0.7748,0.1696,0.4056,0.4117,0,1.0047,1e-04,0.1822,1e-04,2e-04,0.9018,0.0718,0.5407,1e-04,0.6085,0,5e-04,2.3627,0.0205,0.0385,0,0.3333,0.9718,1e-04,0.5909,0,2e-04,2.0658,0.5294,0,0.4883,0,2e-04,2e-04,0.4276,0,5e-04,3.7057,0.2765,0.2245,0.1026,0.4822,3.0849,1200,142.07,234.76,"FALSE","TRUE","TRUE",0.96,0.02,1.74,8.01,"cryptominisat2011"
"SAT-Race-2010-CNF/cryptography/mizh/sha0_35_1.cnf",48689,204000,19865,116000,1.451,0.7662,0.1719,0.4086,0.4372,0,1.0394,2e-04,0.1873,1e-04,3e-04,0.9208,0.0825,0.5333,2e-04,0.5097,1e-04,5e-04,2.571,0.0194,0.0386,0,0.3333,0.8471,1e-04,0.4982,0,2e-04,2.3037,0.5303,1e-04,0.5184,0,2e-04,3e-04,0.4275,1e-04,7e-04,3.7431,0.2562,0.2807,0.0887,0.5714,3.2891,140.21,90.65,105.79,"TRUE","TRUE","TRUE",0.62,0.01,0.96,4.99,"precosat"
"SAT-Race-2010-CNF/cryptography/mizh/sha0_35_2.cnf",48689,204000,19877,116000,1.4495,0.7653,0.1719,0.4086,0.4372,0,1.0393,2e-04,0.1872,1e-04,2e-04,0.9206,0.0825,0.5335,2e-04,0.5096,1e-04,5e-04,2.5705,0.0194,0.0385,0,0.4,0.8464,1e-04,0.498,0,2e-04,2.3055,0.5303,1e-04,0.5184,0,2e-04,3e-04,0.4274,1e-04,7e-04,3.7425,0.2562,0.2806,0.0887,0.5809,3.2888,94.29,39.81,58.67,"TRUE","TRUE","TRUE",0.83,0.02,0.98,5.02,"lingeling"
"SAT-Race-2010-CNF/cryptography/mizh/sha0_35_4.cnf",48689,204000,19897,116000,1.4471,0.7639,0.172,0.4085,0.4374,0,1.0397,2e-04,0.1873,1e-04,3e-04,0.921,0.0826,0.5337,2e-04,0.5097,1e-04,5e-04,2.571,0.0194,0.0385,0,0.2727,0.8469,1e-04,0.4982,0,2e-04,2.3053,0.5303,1e-04,0.5183,0,2e-04,3e-04,0.4277,1e-04,7e-04,3.7435,0.2563,0.2806,0.0887,0.5714,3.2893,74.15,78.64,59.62,"TRUE","TRUE","TRUE",0.65,0.02,0.98,5.01,"minisatpsm"
"SAT-Race-2010-CNF/hardware-verification/ibm/SAT_dat.k45.cnf",54343,214000,11939,63935,3.5517,2.3421,0.1867,0.3285,1.1055,0,1.6928,3e-04,0.636,2e-04,0.0024,1.4593,0.5145,0.7459,3e-04,0.7088,1e-04,0.0019,3.1624,0.1797,0.1595,0,0.8947,3.2023,1e-04,0.7175,0,9e-04,2.5974,0.6158,3e-04,0.8079,1e-04,0.0029,5e-04,0.8936,1e-04,0.0065,4.3217,0.1492,0.627,0.0077,0.7333,3.4428,1,0.8,0.71,"TRUE","TRUE","TRUE",0.78,0.01,0.36,5.19,"picosat"
"SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf",196000,583000,32750,248000,4.9941,1.3544,0.1323,0.3756,0.692,0,1.7696,1e-04,0.3744,1e-04,0.0015,1.6206,0.1194,0.468,1e-04,2.0163,0,0.0142,2.9961,0.1713,0.1497,0,0.9658,2.8827,0,2.377,0,0.0071,2.5155,0.4435,1e-04,1.7597,0,0.0083,0.0084,0.2506,0.0026,0.0211,2.9703,0.1276,0.2464,0.0476,0.3407,2.2731,98.61,1200,1200,"TRUE","FALSE","FALSE",2.75,0.04,2.7,20.02,"glucose2"
