"id","nvarsOrig","nclausesOrig","nvars","nclauses","reducedVars","reducedClauses","vars_clauses_ratio","POSNEG_RATIO_CLAUSE_mean","POSNEG_RATIO_CLAUSE_coeff_variation","POSNEG_RATIO_CLAUSE_min","POSNEG_RATIO_CLAUSE_entropy","VCG_CLAUSE_mean","VCG_CLAUSE_coeff_variation","VCG_CLAUSE_min","VCG_CLAUSE_max","VCG_CLAUSE_entropy","BINARYp","TRINARYp","VCG_VAR_mean","VCG_VAR_coeff_variation","VCG_VAR_min","VCG_VAR_max","VCG_VAR_entropy","POSNEG_RATIO_VAR_mean","POSNEG_RATIO_VAR_stdev","POSNEG_RATIO_VAR_min","POSNEG_RATIO_VAR_max","POSNEG_RATIO_VAR_entropy","HORNY_VAR_mean","HORNY_VAR_coeff_variation","HORNY_VAR_min","HORNY_VAR_max","HORNY_VAR_entropy","horn_clauses_fraction","VG_mean","VG_coeff_variation","VG_min","VG_max","CG_mean","CG_coeff_variation","CG_min","CG_max","CG_entropy","cluster_coeff_mean","cluster_coeff_coeff_variation","cluster_coeff_min","cluster_coeff_max","cluster_coeff_entropy","eagleup","ebglucose","lrglshr","minisatpsm","rcl","restartsat","sapperlot","spear.hw","spear.sw","eagleup_success","ebglucose_success","lrglshr_success","minisatpsm_success","rcl_success","restartsat_success","sapperlot_success","spear.hw_success","spear.sw_success","Pre","Basic","KLB","CG","Class"
"SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf",744,2464,360,2208,1.0667,0.1159,0.163,0.4544,0.7255,0,1.4994,0.0094,0.2145,0.0056,0.0139,1.0891,0.087,0.5942,0.0094,0.9001,0.0036,0.0435,1.6886,0.035,0.0291,0,0.0667,1.2576,0.0039,0.8177,9e-04,0.019,2.5168,0.4416,0.0053,0.8863,0.0027,0.0222,0.0245,0.5309,0.0054,0.0466,2.5754,0.2329,0.3858,0.1059,0.4062,2.5141,1200,333.03,1200,157.18,780.44,421.5,918.18,420.86,1200,"FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",0.01,0,0,0.31,"lingeling"
"SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest02-ezfact64_10.sat05-449.reshuffled-07.cnf",3073,19785,2844,17759,0.0805,0.1141,0.1601,0.3995,0.8418,0,1.2812,0.0013,0.141,7e-04,0.0018,0.6185,0.0455,0.2054,0.0013,0.5437,5e-04,0.0071,1.2677,0.0256,0.0453,0,0.2727,0.7202,5e-04,0.9093,1e-04,0.0038,2.2079,0.3644,4e-04,0.9208,2e-04,0.0035,0.0025,0.711,3e-04,0.0073,1.8836,0.381,0.4223,0.0392,0.6364,1.6339,1200,1200,1200,1200,1200,1200,1163.9,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",0.03,0,0.03,1.92,"mphaseSAT64"
"SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf",900,69990,870,69090,0.0345,0.013,0.0126,0.4874,1.0167,0,0.8872,0.0036,1.9953,0.0023,0.0667,0.187,0.9642,0.9642,0.0036,0.1973,0.0021,0.0059,4.8125,0.2393,0.0614,0.123,0.4048,3.096,0.0017,0.4081,5e-04,0.0039,4.6377,0.7267,0.0126,0,0.0126,0.0126,0.0159,0.5427,0.0093,0.0425,1.0278,0.1945,0.2754,0.065,0.4,0.8775,1200,828.51,977.32,353.36,270.6,1200,1021.34,269.45,1200,"FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE",0.64,0.01,0.02,20.01,"clasp2"
"SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07.cnf",900,71378,870,70478,0.0345,0.0128,0.0123,0.4958,1.0026,0,0.8405,0.0033,1.9851,0.0023,0.0667,0.1468,0.9738,0.9738,0.0033,0.1782,0.002,0.0058,4.4776,0.3589,0.0451,0.2517,0.5122,2.7394,0.0016,0.4383,4e-04,0.0039,4.5133,0.6848,0.0123,0,0.0123,0.0123,0.0159,0.5427,0.0093,0.0425,1.0278,0.1945,0.2754,0.065,0.4,0.8775,1200,910.98,1200,687.93,896.14,1200,1200,541.55,1200,"FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE",0.46,0.01,0.03,20.01,"clasp2"
"SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-hwb-n26-01-S1957858365.sat05-500.reshuffled-07.cnf",172,832,121,730,0.4215,0.1397,0.1658,0.3941,0.7856,0,1.7066,0.0326,0.2899,0.0165,0.0579,1.2058,0.011,0.3863,0.0326,0.4849,0.0164,0.1014,1.8229,0.0146,0.0694,0,0.6,0.4694,0.0098,0.2674,0.0041,0.0164,1.8627,0.3411,0.0162,0.6955,0.0082,0.0521,0.054,0.5549,0.0164,0.1521,3.3648,0.3661,0.2581,0.2406,0.684,3.0724,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,0,0,0.06,"mxc09"
"SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-dead-dnd001.sat05-2742.reshuffled-07.cnf",1558,8169,1439,6620,0.0827,0.234,0.2174,0.299,0.8977,0,3.0218,0.0063,0.4298,0.0014,0.0111,2.613,0.0937,0.1411,0.0063,4.2015,2e-04,0.6255,3.3298,0.5267,0.1961,0,1,2.8548,3e-04,3.0265,0,0.0154,1.3955,0.1305,0.0068,1.4889,2e-04,0.182,0.0159,0.5427,0.0093,0.0425,1.0278,0.1945,0.2754,0.065,0.4,0.8775,1200,32.82,123.45,71.78,184.2,37.61,189.37,1156.02,1200,"FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",0.05,0,0.01,20.18,"glueminisat"
"SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-dead-dnd002.sat05-2713.reshuffled-07.cnf",1339,7095,1232,5771,0.0869,0.2294,0.2135,0.301,0.8888,0,2.9945,0.0073,0.4521,0.0016,0.013,2.62,0.097,0.1722,0.0073,4.4365,2e-04,0.7117,3.0231,0.5365,0.1795,0,1,2.6767,3e-04,2.6883,0,0.0158,1.3622,0.1313,0.0076,1.5093,2e-04,0.2067,0.0159,0.5427,0.0093,0.0425,1.0278,0.1945,0.2754,0.065,0.4,0.8775,1200,373.63,122.16,1200,944.03,58.43,338.42,1200,1200,"FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",0.04,0,0.01,20.04,"cryptominisat2011"
"SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-gensys-brn007.sat05-2684.reshuffled-07.cnf",1477,7809,1372,6480,0.0765,0.2051,0.2117,0.3176,0.8378,0,3.0201,0.0065,0.4378,0.0015,0.0117,2.572,0.0927,0.1057,0.0065,4.2179,2e-04,0.6278,3.2692,0.5251,0.2163,0,1,2.7982,3e-04,2.8777,0,0.0134,1.4221,0.1211,0.0072,1.5134,2e-04,0.1844,0.0159,0.5427,0.0093,0.0425,1.0278,0.1945,0.2754,0.065,0.4,0.8775,1200,75.7,103.45,160.05,234.68,55.4,187.45,1200,1200,"FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",0.04,0,0.01,20.66,"cryptominisat2011"
"SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-gensys-icl001.sat05-2695.reshuffled-07.cnf",1587,8013,1465,6565,0.0833,0.2206,0.2232,0.289,0.8986,0,2.9418,0.006,0.4259,0.0014,0.0109,2.5476,0.0905,0.0989,0.006,4.1837,2e-04,0.6034,3.3497,0.5352,0.2063,0,1,2.8671,3e-04,2.4873,0,0.012,1.3243,0.1152,0.0067,1.5263,2e-04,0.1796,0.0159,0.5427,0.0093,0.0425,1.0278,0.1945,0.2754,0.065,0.4,0.8775,1200,87.26,100.27,478.91,474.25,43.64,358.23,1200,1200,"FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",0.05,0,0.01,20.82,"cryptominisat2011"
"SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-gensys-icl004.sat05-2716.reshuffled-07.cnf",1605,8025,1492,6633,0.0757,0.2099,0.2249,0.299,0.8604,0,3.0185,0.006,0.4169,0.0013,0.0107,2.5543,0.0811,0.0896,0.006,4.1923,2e-04,0.6068,3.333,0.5487,0.1908,0,1,2.8323,3e-04,2.8836,0,0.0128,1.3596,0.1132,0.0066,1.5349,2e-04,0.179,0.0159,0.5427,0.0093,0.0425,1.0278,0.1945,0.2754,0.065,0.4,0.8775,1200,67.21,124.29,64.37,92.96,54.08,218.38,412,1200,"FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",0.05,0,0.01,20.79,"glueminisat"
