"id","nvarsOrig","nclausesOrig","nvars","nclauses","reducedVars","reducedClauses","vars_clauses_ratio","POSNEG_RATIO_CLAUSE_mean","POSNEG_RATIO_CLAUSE_coeff_variation","POSNEG_RATIO_CLAUSE_min","POSNEG_RATIO_CLAUSE_entropy","VCG_CLAUSE_mean","VCG_CLAUSE_coeff_variation","VCG_CLAUSE_min","VCG_CLAUSE_max","VCG_CLAUSE_entropy","BINARYp","TRINARYp","VCG_VAR_mean","VCG_VAR_coeff_variation","VCG_VAR_min","VCG_VAR_max","VCG_VAR_entropy","POSNEG_RATIO_VAR_mean","POSNEG_RATIO_VAR_stdev","POSNEG_RATIO_VAR_min","POSNEG_RATIO_VAR_max","POSNEG_RATIO_VAR_entropy","HORNY_VAR_mean","HORNY_VAR_coeff_variation","HORNY_VAR_min","HORNY_VAR_max","HORNY_VAR_entropy","horn_clauses_fraction","VG_mean","VG_coeff_variation","VG_min","VG_max","CG_mean","CG_coeff_variation","CG_min","CG_max","CG_entropy","cluster_coeff_mean","cluster_coeff_coeff_variation","cluster_coeff_min","cluster_coeff_max","cluster_coeff_entropy","eagleup","gnoveltyp2","marchrw","sapperlot","satime11","sattime","sattimep","sparrow","spear.hw","spear.sw","tnm","eagleup_success","gnoveltyp2_success","marchrw_success","sapperlot_success","satime11_success","sattime_success","sattimep_success","sparrow_success","spear.hw_success","spear.sw_success","tnm_success","Pre","Basic","KLB","CG","Class"
"SAT-Race-2010-CNF/cryptography/desgen/gss-16-s100.cnf",31248,93904,13336,55442,1.3431,0.6937,0.2405,0.188,1.5565,0,1.1292,2e-04,1.0765,1e-04,0.0025,0.9808,0.6633,0.9396,2e-04,0.8045,1e-04,0.0021,2.4667,0.1827,0.1522,0,0.7778,2.3661,2e-04,0.9456,1e-04,0.0016,1.8747,0.8961,4e-04,0.7561,1e-04,0.0022,5e-04,0.9091,1e-04,0.0038,3.8011,0.1715,0.4685,0.0186,0.5333,3.2245,1200,1200,1200,105.81,1200,1200,1200,1200,189,186.99,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",0.79,0.01,0.45,2.41,"qutersat"
"SAT-Race-2010-CNF/cryptography/desgen/gss-19-s100.cnf",31435,94548,13682,56829,1.2975,0.6637,0.2408,0.1899,1.5489,0,1.132,2e-04,1.0819,1e-04,0.0024,0.9809,0.6614,0.9401,2e-04,0.7993,1e-04,0.0019,2.4609,0.182,0.1523,0,0.7778,2.3542,1e-04,0.9398,1e-04,0.0016,1.876,0.894,4e-04,0.7591,1e-04,0.0022,4e-04,0.9112,1e-04,0.0037,3.7804,0.1724,0.4661,0.0184,0.5278,3.2269,1200,1200,1200,1200,1200,1200,1200,1200,1200,1075.42,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",0.74,0.01,0.47,2.44,"mphaseSATm"
"SAT-Race-2010-CNF/cryptography/desgen/gss-20-s100.cnf",31503,94748,13726,56930,1.2951,0.6643,0.2411,0.1897,1.5492,0,1.1286,2e-04,1.0769,1e-04,0.0024,0.9765,0.6615,0.9409,2e-04,0.7957,1e-04,0.0019,2.4407,0.1798,0.1504,0,0.7778,2.3252,1e-04,0.9376,0,0.0016,1.8795,0.8942,4e-04,0.7599,1e-04,0.0022,4e-04,0.9087,1e-04,0.0037,3.7506,0.1725,0.4661,0.0186,0.5278,3.2247,1200,1200,1200,530.76,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.77,0,0.47,2.4,"precosat"
"SAT-Race-2010-CNF/cryptography/desgen/gss-31-s100.cnf",32310,97279,14508,60326,1.227,0.6126,0.2405,0.1948,1.5263,0,1.148,2e-04,1.0796,1e-04,0.0023,0.9944,0.6535,0.9387,2e-04,0.7942,1e-04,0.0018,2.4694,0.184,0.1536,0,0.7778,2.3683,1e-04,0.9248,0,0.0014,1.8773,0.887,4e-04,0.759,1e-04,0.002,4e-04,0.9132,1e-04,0.0035,3.777,0.1737,0.4608,0.0193,0.5278,3.2368,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.77,0.01,0.53,2.66,"lingeling"
"SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf",69097,225325,28340,162397,1.4381,0.3875,0.1745,0.4093,0.454,0,1.0578,1e-04,0.1778,1e-04,4e-04,0.8813,0.0616,0.5552,1e-04,0.586,0,7e-04,2.3479,0.0249,0.0423,0,0.6667,1.0519,1e-04,0.5355,0,4e-04,2.0352,0.5123,0,0.4568,0,3e-04,2e-04,0.4586,0,8e-04,3.7524,0.3006,0.1758,0.0559,0.6381,2.9496,1200,1200,1200,90.93,1200,1200,1200,1200,194.95,346.27,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",1.03,0.02,2.03,9.48,"qutersat"
"SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-09.cnf",69487,226581,28519,163277,1.4365,0.3877,0.1747,0.4091,0.4545,0,1.0579,1e-04,0.1782,1e-04,4e-04,0.8813,0.0617,0.5562,1e-04,0.585,0,3e-04,2.3502,0.0251,0.0425,0,0.6667,1.0554,1e-04,0.5339,0,2e-04,2.0379,0.5127,0,0.4547,0,2e-04,2e-04,0.4578,0,8e-04,3.7495,0.3005,0.1747,0.0993,0.6381,2.9456,1200,1200,1200,544.35,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.98,0.02,1.99,9.26,"cryptominisat2011"
"SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-10.cnf",69503,226618,28506,163265,1.4382,0.388,0.1746,0.4091,0.4541,0,1.0577,1e-04,0.1783,1e-04,5e-04,0.8811,0.0616,0.5559,1e-04,0.5847,0,3e-04,2.3498,0.0251,0.0427,0,0.6667,1.0562,1e-04,0.5337,0,2e-04,2.0376,0.5127,0,0.4548,0,2e-04,2e-04,0.4574,0,8e-04,3.7492,0.3004,0.1748,0.0918,0.6381,2.9464,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.95,0.03,1.99,9.29,"cryptominisat2011"
"SAT-Race-2010-CNF/cryptography/mizh/md5_47_4.cnf",65604,273506,26157,153907,1.5081,0.7771,0.17,0.4053,0.413,0,1.0062,1e-04,0.1825,1e-04,2e-04,0.9027,0.0723,0.5428,1e-04,0.6042,0,5e-04,2.37,0.0207,0.0385,0,0.3333,0.9795,1e-04,0.5864,0,2e-04,2.0686,0.5294,0,0.4859,0,2e-04,2e-04,0.4268,0,5e-04,3.7169,0.2768,0.2239,0.1053,0.4822,3.0906,1200,1200,1200,216.46,1200,1200,1200,1200,224.01,292.68,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",0.94,0.02,1.7,7.72,"mphaseSAT"
"SAT-Race-2010-CNF/cryptography/mizh/md5_48_1.cnf",66892,279248,26689,157343,1.5064,0.7748,0.1696,0.4056,0.4117,0,1.0047,1e-04,0.1822,1e-04,2e-04,0.9017,0.0718,0.5408,1e-04,0.6086,0,5e-04,2.362,0.0205,0.0385,0,0.3333,0.971,1e-04,0.591,0,2e-04,2.0657,0.5294,0,0.4883,0,2e-04,2e-04,0.4276,0,5e-04,3.705,0.2765,0.2246,0.1053,0.4822,3.0844,1200,1200,1200,654.37,1200,1200,1200,1200,352.95,546.41,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",0.89,0.02,1.74,8.11,"mphaseSAT64"
"SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf",66892,279258,26689,157349,1.5064,0.7748,0.1696,0.4056,0.4117,0,1.0047,1e-04,0.1822,1e-04,2e-04,0.9018,0.0718,0.5407,1e-04,0.6085,0,5e-04,2.3627,0.0205,0.0385,0,0.3333,0.9718,1e-04,0.5909,0,2e-04,2.0658,0.5294,0,0.4883,0,2e-04,2e-04,0.4276,0,5e-04,3.7057,0.2765,0.2245,0.1026,0.4822,3.0849,1200,1200,1200,1200,1200,1200,1200,1200,142.07,234.76,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",0.96,0.02,1.74,8.01,"cryptominisat2011"
