"id","nvarsOrig","nclausesOrig","nvars","nclauses","reducedVars","reducedClauses","vars_clauses_ratio","POSNEG_RATIO_CLAUSE_mean","POSNEG_RATIO_CLAUSE_coeff_variation","POSNEG_RATIO_CLAUSE_min","POSNEG_RATIO_CLAUSE_entropy","VCG_CLAUSE_mean","VCG_CLAUSE_coeff_variation","VCG_CLAUSE_min","VCG_CLAUSE_max","VCG_CLAUSE_entropy","BINARYp","TRINARYp","VCG_VAR_mean","VCG_VAR_coeff_variation","VCG_VAR_min","VCG_VAR_max","VCG_VAR_entropy","POSNEG_RATIO_VAR_mean","POSNEG_RATIO_VAR_stdev","POSNEG_RATIO_VAR_min","POSNEG_RATIO_VAR_max","POSNEG_RATIO_VAR_entropy","HORNY_VAR_mean","HORNY_VAR_coeff_variation","HORNY_VAR_min","HORNY_VAR_max","HORNY_VAR_entropy","horn_clauses_fraction","VG_mean","VG_coeff_variation","VG_min","VG_max","CG_mean","CG_coeff_variation","CG_min","CG_max","CG_entropy","cluster_coeff_mean","cluster_coeff_coeff_variation","cluster_coeff_min","cluster_coeff_max","cluster_coeff_entropy","clasp1","clasp2","cryptominisat2011","ebglucose","ebminisat","glucose2","glueminisat","lingeling","lrglshr","marchrw","minisatpsm","mphaseSAT","mphaseSATm","mxc09","picosat","precosat","qutersat","rcl","restartsat","sapperlot","sol","spear.hw","spear.sw","clasp1_success","clasp2_success","cryptominisat2011_success","ebglucose_success","ebminisat_success","glucose2_success","glueminisat_success","lingeling_success","lrglshr_success","marchrw_success","minisatpsm_success","mphaseSAT_success","mphaseSATm_success","mxc09_success","picosat_success","precosat_success","qutersat_success","rcl_success","restartsat_success","sapperlot_success","sol_success","spear.hw_success","spear.sw_success","Pre","Basic","KLB","CG","Class"
"SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1286605994-07-SAT.cnf",3500,9344,2610,8066,0.341,0.1584,0.3236,0.4744,0.7609,0,1.353,0.0011,0.2568,8e-04,0.0027,1.0882,0.2573,0.821,0.0011,0.4002,1e-04,0.0047,2.5658,0.2873,0.2095,0,1,2.9828,6e-04,0.4872,0,0.0024,2.1458,0.5291,0.0023,0.4341,1e-04,0.0095,0.0017,0.4256,2e-04,0.0068,3.073,0.1604,0.4061,0.0377,0.6667,2.8249,20.12,392.74,1200,934.2,122.63,330.03,565.03,108.79,1077.42,33.95,1200,263.12,263.42,459.68,817.45,1200,1200,1079.26,1200,1200,406.68,1200,1200,"TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE",0.03,0,0.02,0.08,"sparrow"
"SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1455331099-09-SAT.cnf",3500,9344,2624,8176,0.3338,0.1429,0.3209,0.476,0.7603,0,1.3758,0.0011,0.2662,8e-04,0.003,1.1151,0.2539,0.8135,0.0011,0.4051,1e-04,0.0042,2.5905,0.293,0.2154,0,1,3.0392,5e-04,0.4932,0,0.0021,2.1211,0.5122,0.0023,0.4388,1e-04,0.0092,0.0017,0.431,2e-04,0.0075,3.1022,0.1595,0.4275,0.0328,0.6667,2.8369,1.31,1.79,1200,13.85,29.3,107.85,37,225.95,14.2,43.42,143.13,139.66,138.13,425.21,287.6,339.81,1200,384.81,169.42,15.01,82.96,77.5,1200,"TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",0.03,0.01,0.01,0.09,"newJointClass"
"SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1568322528-08-SAT.cnf",3500,9344,2550,7976,0.3725,0.1715,0.3197,0.4741,0.768,0,1.4009,0.0012,0.2882,8e-04,0.0039,1.1509,0.2561,0.806,0.0012,0.4409,1e-04,0.0056,2.617,0.2908,0.214,0,1,3.0058,6e-04,0.4912,0,0.002,2.1545,0.5278,0.0024,0.4831,1e-04,0.0117,0.0018,0.4463,3e-04,0.0064,3.1443,0.1579,0.4349,0.0392,0.6667,2.8563,6.19,3.68,78.03,24.43,28.34,3.32,13.92,54.15,6.19,7.53,2.99,9.13,9.17,24.98,22.08,28.57,21.01,62.96,12.55,24.99,8.55,14.16,5.09,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.03,0,0.02,0.09,"satime11"
"SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1671384215-01-SAT.cnf",3500,9344,2513,7924,0.3928,0.1792,0.3171,0.4777,0.7585,0,1.3961,0.0012,0.2686,8e-04,0.0032,1.1384,0.251,0.7968,0.0012,0.4057,1e-04,0.0044,2.6081,0.2882,0.2067,0,1,3.0522,6e-04,0.4964,0,0.003,2.1654,0.5251,0.0024,0.441,3e-04,0.0097,0.0018,0.4331,3e-04,0.0074,3.1342,0.1552,0.4228,0.0339,0.6667,2.8406,1.88,0.91,20.82,4.31,2.01,2.51,3.58,11.19,7.43,2.24,4.47,7.52,7.64,5.13,3.36,6.01,10.15,6.86,3.13,11.12,3.71,10.82,9.94,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.06,0,0.02,0.13,"newJointClass"
"SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1909130260-19-SAT.cnf",3500,9344,2574,8079,0.3598,0.1566,0.3186,0.479,0.7541,0,1.3895,0.0012,0.2736,8e-04,0.0035,1.1403,0.2498,0.8023,0.0012,0.4184,1e-04,0.0045,2.6371,0.2919,0.2171,0,1,3.0603,5e-04,0.5016,0,0.002,2.138,0.5058,0.0024,0.4475,1e-04,0.0092,0.0018,0.4343,2e-04,0.0062,3.1424,0.1551,0.4278,0.04,0.6667,2.8503,0.98,7.62,49.7,36.53,8.13,35.79,40.96,28.23,12.99,1.65,33.83,39.43,39.89,35.4,58.52,20.29,37.01,37.4,29.66,4.06,18.19,26.01,34.93,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.03,0,0.02,0.09,"tnm"
"SAT_Competition2007/random/2+p/p0.7/v4500/unif2p-p0.7-v4500-c12015-S1311582577-17-UNSAT.cnf",4500,12014,3263,10275,0.3791,0.1692,0.3176,0.4741,0.7605,0,1.4028,9e-04,0.2781,6e-04,0.0025,1.15,0.2498,0.8003,9e-04,0.4327,1e-04,0.0036,2.6443,0.2948,0.2131,0,1,3.0749,4e-04,0.5118,0,0.0022,2.1872,0.5272,0.0019,0.4735,1e-04,0.008,0.0014,0.4539,2e-04,0.0051,3.1711,0.1551,0.4287,0.0385,0.6667,2.8627,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.11,0.01,0.02,0.13,"sparrow"
"SAT_Competition2007/random/2+p/p0.7/v4500/unif2p-p0.7-v4500-c12015-S1352949000-03-SAT.cnf",4500,12014,3350,10507,0.3433,0.1434,0.3188,0.4777,0.7591,0,1.3921,9e-04,0.2806,6e-04,0.003,1.1475,0.256,0.8037,9e-04,0.429,1e-04,0.0039,2.6197,0.2896,0.2133,0,1,3.0551,4e-04,0.4923,0,0.0024,2.1278,0.5154,0.0018,0.4651,1e-04,0.0079,0.0013,0.4497,2e-04,0.0054,3.1443,0.1566,0.4275,0.0351,0.6667,2.8557,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,673.19,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.05,0,0.03,0.12,"sattimep"
"SAT_Competition2007/random/2+p/p0.7/v4500/unif2p-p0.7-v4500-c12015-S1545977164-16-SAT.cnf",4500,12014,3256,10208,0.3821,0.1769,0.319,0.4764,0.7617,0,1.3944,9e-04,0.2731,6e-04,0.0025,1.1444,0.2519,0.7996,9e-04,0.4215,1e-04,0.0036,2.6348,0.2894,0.2122,0,1,3.0305,4e-04,0.5007,0,0.0016,2.1526,0.5133,0.0019,0.4606,1e-04,0.0078,0.0014,0.4369,2e-04,0.0051,3.1474,0.1549,0.4283,0.0377,0.6667,2.856,110.93,51.56,1200,403.17,24.88,304.72,348.87,198.17,1200,2.3,29.77,141.3,140.77,131.92,176.86,78.63,1200,42.97,68.75,10.69,101.34,189.93,1200,"TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",0.04,0.01,0.02,0.11,"satime11"
"SAT_Competition2007/random/2+p/p0.7/v4500/unif2p-p0.7-v4500-c12015-S1705860047-05-SAT.cnf",4500,12014,3357,10498,0.3405,0.1444,0.3198,0.4711,0.7666,0,1.3849,9e-04,0.2707,6e-04,0.0027,1.1318,0.257,0.8068,9e-04,0.4241,1e-04,0.0034,2.6271,0.297,0.2167,0,1,3.0464,4e-04,0.4868,0,0.0016,2.1437,0.5226,0.0018,0.4606,1e-04,0.0082,0.0013,0.4418,2e-04,0.0055,3.1409,0.1579,0.4329,0.0345,0.6667,2.8552,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,255.82,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",0.04,0,0.03,0.12,"newJointClass"
"SAT_Competition2007/random/2+p/p0.7/v4500/unif2p-p0.7-v4500-c12015-S1821409123-12-SAT.cnf",4500,12014,3321,10392,0.355,0.1561,0.3196,0.4681,0.7665,0,1.3853,9e-04,0.274,6e-04,0.0033,1.1351,0.2504,0.8042,9e-04,0.4163,1e-04,0.0034,2.6147,0.2951,0.2125,0,1,3.0588,4e-04,0.4863,0,0.0015,2.1307,0.5233,0.0018,0.4586,1e-04,0.0079,0.0014,0.4545,2e-04,0.0071,3.1465,0.1576,0.4238,0.0285,0.6667,2.8612,0.47,0.25,9.47,1.7,2.13,1.32,6.58,0.7,0.32,0.35,0.41,12.4,12.36,0.58,0.86,0.71,2.31,1.68,1.67,1.39,1.81,0.2,4.71,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.05,0,0.03,0.11,"sparrow"
"SAT_Competition2007/random/2+p/p0.7/v4500/unif2p-p0.7-v4500-c12015-S1973057201-08-SAT.cnf",4500,12014,3250,10290,0.3846,0.1675,0.3158,0.4752,0.7601,0,1.4202,9e-04,0.2793,6e-04,0.0028,1.1675,0.247,0.7861,9e-04,0.4222,1e-04,0.0043,2.6332,0.2956,0.2143,0,1,3.0922,4e-04,0.5038,0,0.0017,2.1675,0.5165,0.0019,0.4566,1e-04,0.0082,0.0014,0.4321,2e-04,0.0052,3.1398,0.1539,0.4163,0.0392,0.6667,2.8381,1200,49.91,1200,1200,1200,44.08,1200,1200,11.74,1200,1200,535.62,526.03,1200,1200,1200,1200,36.42,1200,1200,1200,1200,1200,"FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.04,0,0.03,0.12,"tnm"
"SAT_Competition2007/random/2+p/p0.7/v4500/unif2p-p0.7-v4500-c12015-S2053960853-04-UNSAT.cnf",4500,12014,3294,10362,0.3661,0.1594,0.3179,0.4786,0.7596,0,1.4009,9e-04,0.2773,6e-04,0.0027,1.1462,0.2545,0.8023,9e-04,0.4178,1e-04,0.0042,2.6289,0.2953,0.2125,0,1,3.0544,4e-04,0.4905,0,0.0016,2.1478,0.5221,0.0019,0.4615,1e-04,0.0094,0.0014,0.4456,2e-04,0.0059,3.1489,0.1565,0.4333,0.0323,0.6667,2.8547,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.05,0,0.03,0.11,"sparrow"
"SAT_Competition2007/random/2+p/p0.7/v5500/unif2p-p0.7-v5500-c14685-S1307633938-08-UNSAT.cnf",5500,14684,3995,12455,0.3767,0.179,0.3208,0.4728,0.7642,0,1.3983,8e-04,0.2822,5e-04,0.0025,1.1488,0.2555,0.8081,8e-04,0.4181,1e-04,0.0026,2.6227,0.2881,0.2125,0,1,3.0374,4e-04,0.495,0,0.0018,2.1672,0.5346,0.0015,0.4582,1e-04,0.0059,0.0011,0.4389,0,0.0043,3.135,0.156,0.4252,0,0.6667,2.8419,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.09,0.01,0.06,0.16,"sparrow"
"SAT_Competition2007/random/2+p/p0.7/v5500/unif2p-p0.7-v5500-c14685-S145970304-01-UNSAT.cnf",5500,14684,3997,12571,0.376,0.1681,0.318,0.4729,0.766,0,1.4031,8e-04,0.2818,5e-04,0.0028,1.1497,0.255,0.8003,8e-04,0.4127,1e-04,0.0029,2.6204,0.2896,0.2079,0,1,3.0686,4e-04,0.4847,0,0.0014,2.132,0.5192,0.0015,0.454,1e-04,0.0065,0.0011,0.4381,2e-04,0.0061,3.1416,0.155,0.4301,0.0273,0.6667,2.8456,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.06,0,0.04,0.14,"sparrow"
"SAT_Competition2007/random/2+p/p0.7/v5500/unif2p-p0.7-v5500-c14685-S1517457236-16-SAT.cnf",5500,14684,4066,12773,0.3527,0.1496,0.3183,0.4749,0.7622,0,1.3866,7e-04,0.2715,5e-04,0.002,1.1323,0.2534,0.808,7e-04,0.4138,1e-04,0.0035,2.6088,0.2906,0.2112,0,1,3.0372,3e-04,0.4972,0,0.0013,2.134,0.5096,0.0015,0.4531,1e-04,0.0076,0.0011,0.4403,0,0.0045,3.1324,0.1566,0.4198,0,0.6667,2.8472,266.12,1200,1200,1200,1200,1200,1200,1200,1200,25.46,1200,1200,1200,978.38,1200,1200,1200,1200,1200,164.17,230.44,1200,1200,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE",0.06,0,0.04,0.14,"sparrow"
"SAT_Competition2007/random/2+p/p0.7/v5500/unif2p-p0.7-v5500-c14685-S1568197186-18-SAT.cnf",5500,14684,3967,12448,0.3864,0.1796,0.3187,0.4773,0.7596,0,1.4055,8e-04,0.2783,5e-04,0.0023,1.1564,0.255,0.798,8e-04,0.4177,1e-04,0.0026,2.6292,0.2959,0.2099,0,1,3.0741,4e-04,0.501,0,0.0014,2.1444,0.5088,0.0015,0.4585,1e-04,0.0055,0.0011,0.436,2e-04,0.0042,3.1401,0.1564,0.4256,0.0385,0.6667,2.8509,33.38,65.9,1200,1200,721.63,704.71,221.35,28.76,520.02,0.31,5.25,347.33,341.77,109.22,91.96,278.27,1091.21,139.38,284.44,63.63,59.08,286.93,731.77,"TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.06,0,0.04,0.14,"tnm"
