"id","nvarsOrig","nclausesOrig","nvars","nclauses","reducedVars","reducedClauses","Pre.featuretime","vars.clauses.ratio","POSNEG.RATIO.CLAUSE.mean","POSNEG.RATIO.CLAUSE.coeff.variation","POSNEG.RATIO.CLAUSE.entropy","VCG.CLAUSE.mean","VCG.CLAUSE.coeff.variation","VCG.CLAUSE.min","VCG.CLAUSE.max","VCG.CLAUSE.entropy","BINARY.","TRINARY.","Basic.featuretime","VCG.VAR.mean","VCG.VAR.coeff.variation","VCG.VAR.min","VCG.VAR.max","VCG.VAR.entropy","POSNEG.RATIO.VAR.mean","POSNEG.RATIO.VAR.stdev","POSNEG.RATIO.VAR.min","POSNEG.RATIO.VAR.max","POSNEG.RATIO.VAR.entropy","HORNY.VAR.mean","HORNY.VAR.coeff.variation","HORNY.VAR.min","HORNY.VAR.max","HORNY.VAR.entropy","horn.clauses.fraction","VG.mean","VG.coeff.variation","VG.min","VG.max","KLB.featuretime","CG.mean","CG.coeff.variation","CG.min","CG.max","CG.entropy","cluster.coeff.mean","cluster.coeff.coeff.variation","cluster.coeff.min","cluster.coeff.max","cluster.coeff.entropy","CG.featuretime","ADS.cryptominisat","ADS.cryptominisat.autotune","ADS.dccaSatToRiss","ADS.glucose.adapt","ADS.glucose.community.switching","BreakIDGlucose2","CCAglucose2015","GlueMiniSat_2.2.10","GlueMiniSat_2.2.10.5","Nigma.1.2.86","glucose.default","glueminisat.Actmini","multi.sat.g2_0","multi.sat.g2_2","ratselfax_cnf_215_final","riss_505_1","riss_505_2","satUZK.seq","ADS.cryptominisat_success","ADS.cryptominisat.autotune_success","ADS.dccaSatToRiss_success","ADS.glucose.adapt_success","ADS.glucose.community.switching_success","BreakIDGlucose2_success","CCAglucose2015_success","GlueMiniSat_2.2.10_success","GlueMiniSat_2.2.10.5_success","Nigma.1.2.86_success","glucose.default_success","glueminisat.Actmini_success","multi.sat.g2_0_success","multi.sat.g2_2_success","ratselfax_cnf_215_final_success","riss_505_1_success","riss_505_2_success","satUZK.seq_success","Class"
"002-80-12.cnf",13408,478488,12701,307271,0.055665,0.557218,0.6,0.041335,0.375448,0.589576,2.190192,0.000453,0.201278,0.000157,0.001575,1.444065,0.001159,0.038074,0.04,0.000453,0.43993,5.2e-05,0.000882,3.717319,0.117467,0.06842,0,0.672727,2.813879,7.4e-05,0.497451,7e-06,0.000189,3.281792,0.193614,6.4e-05,0.419277,1.6e-05,0.000124,0.24,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,1289.13,1687.65,3600,933.653,3427.35,1373.62,1639.37,1576.35,1490.4,806.516,1360.67,1917.03,1698.39,1052.07,3600,2079.42,1362.82,3600,"TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","minisat_BCD"
"002-80-4.cnf",13408,478480,12703,307362,0.055499,0.556731,0.66,0.041329,0.375392,0.589369,2.190123,0.000453,0.201204,0.000157,0.001574,1.443772,0.001103,0.037949,0.04,0.000453,0.439698,4.6e-05,0.000882,3.714047,0.117446,0.068529,0,0.672727,2.814368,7.4e-05,0.497644,3e-06,0.000189,3.28372,0.193482,6.4e-05,0.417923,1.6e-05,0.00012,0.32,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,140.619,231.455,3100.81,267.726,730.35,264.601,785.019,537.844,527.708,221.466,267.098,255.586,163.038,380,3600,707.299,478.258,912.591,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","Lingeling_sr15bal"
"002-80-8.cnf",13408,478484,12702,307158,0.055582,0.557778,0.62,0.041353,0.375457,0.589528,2.190413,0.000453,0.201275,0.000157,0.001575,1.44421,0.001126,0.038062,0.02,0.000453,0.440278,2.6e-05,0.000882,3.723821,0.117427,0.068496,0,0.672727,2.813957,7.4e-05,0.497988,3e-06,0.000189,3.285256,0.193575,6.4e-05,0.419095,1.6e-05,0.00013,0.26,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,266.705,566.291,3285.17,770.371,1635.85,972.322,1362.03,353.525,363.613,761.698,978.887,855.776,335.871,986.058,3600,804.399,1062.93,1673.26,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","newJointClass"
"003-80-8.cnf",13408,478484,12700,307161,0.055748,0.557763,0.66,0.041346,0.375471,0.589531,2.189989,0.000453,0.201238,0.000157,0.001575,1.443919,0.001104,0.038048,0.04,0.000453,0.440174,2.6e-05,0.000882,3.719604,0.117441,0.06864,0,0.672727,2.815425,7.4e-05,0.497679,3e-06,0.000189,3.284511,0.19353,6.4e-05,0.418148,1.6e-05,0.00013,0.28,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,270.865,551.778,3600,711.673,1418.98,792.846,881.517,1104.57,1167.25,665.486,780.548,743.884,991.574,955.552,3600,255.747,1203,3600,"TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","newJointClass"
"004-80-8.cnf",13408,478484,12706,307403,0.055249,0.556537,0.64,0.041333,0.37544,0.589435,2.190435,0.000453,0.201327,0.000157,0.001574,1.444316,0.001135,0.037999,0.04,0.000453,0.439994,2.6e-05,0.000882,3.719651,0.117515,0.068585,0,0.672727,2.814012,7.4e-05,0.49783,3e-06,0.000189,3.282514,0.193541,6.4e-05,0.420669,1.6e-05,0.00014,0.28,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,142.652,580.824,3157.99,775.12,1858.53,876.277,847.73,1057.58,1038.02,487.816,906.085,958.246,584.195,911.888,3600,1072.17,820.802,2526.41,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","newJointClass"
"005-80-12.cnf",13408,478488,12701,307265,0.055665,0.557249,0.6,0.041336,0.375468,0.589606,2.189776,0.000453,0.201208,0.000157,0.001102,1.443605,0.001129,0.038062,0.04,0.000453,0.439955,3.9e-05,0.000882,3.714489,0.117451,0.068599,0,0.672727,2.81335,7.4e-05,0.497325,7e-06,0.000189,3.28184,0.193543,6.4e-05,0.418344,1.6e-05,0.00014,0.24,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,336.558,1188.44,3600,1164.93,2267.63,2339.88,1807.42,2069.7,2064.65,983.672,2366.64,900.885,1923.91,1386.38,3600,1142.3,1756.94,3600,"TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","newJointClass"
"007-80-12.cnf",13408,478488,12703,307309,0.055499,0.557026,0.64,0.041336,0.37545,0.58959,2.190145,0.000453,0.201257,0.000157,0.00126,1.443975,0.001149,0.038079,0.04,0.000453,0.440038,3.3e-05,0.000882,3.7165,0.117482,0.068492,0,0.672727,2.813337,7.4e-05,0.49744,7e-06,0.000189,3.282735,0.1936,6.4e-05,0.418148,1.6e-05,0.000124,0.28,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,506.221,711.181,3600,942.498,3500.12,1328.71,1832.1,1633.28,1661.91,1083.96,1298.74,1033.03,1951.18,727.518,3600,1610.65,1533.78,3600,"TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","newJointClass"
"007-80-8.cnf",13408,478484,12704,307387,0.055416,0.556618,0.58,0.041329,0.375393,0.589415,2.190268,0.000453,0.201279,0.000157,0.001574,1.444234,0.001148,0.037978,0.02,0.000453,0.439809,4.6e-05,0.000882,3.716711,0.117478,0.068702,0,0.714286,2.812407,7.4e-05,0.497555,7e-06,0.000189,3.281885,0.193522,6.4e-05,0.419637,1.6e-05,0.00013,0.26,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,104.28,482.547,3014.82,563.392,1820.79,836.869,1408.19,1042.13,3600,787.531,835.611,811.357,795.073,931.97,3600,659.778,913.606,1791.61,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","newJointClass"
"008-80-12.cnf",13408,478488,12701,307077,0.055665,0.558202,0.6,0.041361,0.375427,0.589561,2.190298,0.000453,0.201326,0.000157,0.001181,1.444577,0.001133,0.038196,0.04,0.000453,0.440515,3.3e-05,0.000883,3.72686,0.117396,0.068524,0,0.672727,2.819073,7.4e-05,0.497307,7e-06,0.000189,3.280527,0.193619,6.4e-05,0.418405,1.6e-05,0.000124,0.26,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,584.16,1080.68,3600,996.817,3101.09,934.618,1510.72,1324.74,1347.23,896.719,965.765,949.035,1510.29,1411.35,3600,1927.23,1333.14,3600,"TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","minisat_BCD"
"008-80-4.cnf",13408,478480,12703,307376,0.055499,0.55666,0.58,0.041327,0.375467,0.589475,2.190533,0.000453,0.201338,0.000157,0.001574,1.444309,0.0011,0.037937,0.04,0.000453,0.439762,5.2e-05,0.000882,3.717702,0.117475,0.068449,0,0.672727,2.812321,7.4e-05,0.497689,3e-06,0.000189,3.280841,0.193496,6.4e-05,0.423749,1.6e-05,0.000159,0.24,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,208.407,220.787,3121.14,77.9901,774.121,354.805,777.572,663.651,608.58,75.0265,374.102,397.185,288.614,188.611,3600,590.255,578.349,911.937,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","Nigma.1.2.87"
